,Tree_Cover,Biodiversity_Metrics,Carbon_Sequestration,Crop_Type,Soil_Type,Soil_Moisture_Content,Crop_Yield_Tons_per_Hectare
0,High,2.571637342419573,9.450029326285174,Maize,Sandy,0.6418895369979793,9.712337702545234
1,Low,2.034843789662538,8.023956759200598,Wheat,Loamy,0.8695846330775631,1.3580127765794656
2,High,2.3887686702488478,9.291233334949252,Rice,Loamy,0.7638750784175714,6.123554358715624
3,High,4.176729381268734,3.7553378582671733,Rice,Sandy,0.44046239718634417,1.9477308972416327
4,Low,3.500864500125753,3.229398746011423,Wheat,Clayey,0.9944144169734095,7.123568762404053
5,Low,4.750559119831609,4.45870168804468,Wheat,Sandy,0.6966414788195231,1.0710300340724586
6,High,3.718819114307336,1.4980779869540757,Maize,Sandy,0.8337235909982311,1.1326746313663594
7,Medium,3.2807265270187758,8.28884457137195,Maize,Loamy,0.7027276485625594,7.9919184378751655
8,High,3.440784035943338,9.857579366035695,Maize,Clayey,0.9904746619784139,1.6699179042756802
9,High,4.7694857578736585,8.416263631929489,Rice,Loamy,0.8392237904959956,3.746635068583578
10,High,4.152803719466824,5.994778013672933,Wheat,Clayey,0.5674808961058965,9.62236381693448
11,High,1.0961649494657513,3.657537734346548,Maize,Sandy,0.4301916065538308,9.867224057027242
12,Low,3.136558784542789,2.7792809968922256,Wheat,Clayey,0.7139393462339582,2.452625756974601
13,High,3.7533536461862593,4.276565846169939,Rice,Loamy,0.631199627926308,6.048117292922651
14,Medium,3.99479391375662,7.002725765933857,Rice,Sandy,0.6664155319247907,6.032339456412699
15,Low,1.8525684772557467,5.023553999867413,Wheat,Clayey,0.4087105896553813,5.07142621479352
16,Medium,4.4687094178054085,9.406538380760374,Wheat,Clayey,0.48585557851349903,9.322301424375961
17,Medium,4.823372588700655,8.687983086691592,Maize,Loamy,0.6022869174015848,7.786305182117443
18,Medium,1.946861223379479,1.9216055436660906,Wheat,Clayey,0.8553550617296587,7.880742421137494
19,Medium,4.530461830068983,2.1837270149713897,Maize,Sandy,0.7866180259866128,3.426124885924088
20,Low,1.3879150500643815,7.086152667700998,Wheat,Clayey,0.20679028345251133,4.908877949814749
21,Low,1.2228273444609807,3.0769155098231886,Wheat,Loamy,0.32099882501745264,5.386813286279078
22,Medium,1.5168952004109975,8.119268893105762,Wheat,Clayey,0.12399195243972469,3.6902083708397484
23,Medium,1.230964317868144,6.322223280937178,Rice,Sandy,0.10716451116903228,1.8533599764585222
24,Low,4.380048948623104,3.06847474960015,Rice,Sandy,0.3019379223522176,2.1372330247499436
25,Low,1.2362005778330878,5.308181177325321,Rice,Clayey,0.8193888532083966,2.626040153628296
26,Low,2.086656765454622,4.6546866313033,Maize,Clayey,0.9142728923569483,2.832880009284535
27,High,1.4150253741434256,8.858434232704642,Maize,Sandy,0.45259152930873825,3.1803562828948966
28,High,2.18168814525506,1.2894622747934523,Rice,Loamy,0.6068787369460107,3.2991402606714497
29,High,1.362237870403682,9.06259501420111,Rice,Sandy,0.7354473417598427,5.1014471093878235
30,Medium,3.672013002972056,6.86874414591769,Wheat,Clayey,0.9576430293265539,5.586158717434371
31,High,1.5333072653703006,7.637843687935408,Wheat,Clayey,0.9216390135676885,3.7799128731372034
32,Medium,4.407383703355551,1.0234671705337037,Maize,Loamy,0.15147307304324195,9.165667779286554
33,Medium,4.2687642029065636,6.6541549063350915,Maize,Sandy,0.32334925888835275,5.978257510050591
34,High,1.0546467418824377,6.296375473399234,Wheat,Sandy,0.14423008955965938,8.087292352300661
35,Medium,4.582905422060458,5.834850007476699,Maize,Loamy,0.6548881788901462,9.31814049178759
36,High,1.1157772669734682,8.072801710352966,Rice,Sandy,0.7394439848253751,2.468216031182247
37,High,1.9585831398302265,6.002839867568547,Wheat,Loamy,0.3774550711208603,4.850870353440711
38,Low,1.1295565511039802,8.713874706038718,Wheat,Sandy,0.8684667173198931,4.898893615431479
39,High,2.343373948157264,3.0936833776867454,Maize,Loamy,0.5075314753703479,4.190250253945187
40,Low,3.0554661028530865,8.253843300745299,Wheat,Loamy,0.9985433635873113,1.0801527989647595
41,High,4.186579476060553,2.6138149554232517,Wheat,Loamy,0.10035972333039245,8.343748970002856
42,High,2.3519262018793445,8.31806012772082,Rice,Clayey,0.198540737576701,2.004033893985125
43,Low,3.821960098692467,9.464171669457109,Wheat,Clayey,0.3716139186418064,9.95932538129583
44,Low,1.7500178284759214,4.021247280793457,Wheat,Clayey,0.12295683815834185,7.956626427200634
45,High,4.002393826976506,5.768976825821699,Wheat,Sandy,0.8041055119644257,6.22009015845863
46,Medium,1.9439864236369502,6.924961206308329,Wheat,Loamy,0.1474946090841585,2.391457759674377
47,Low,1.5741790237750717,1.7152449926904514,Rice,Sandy,0.7740816699644445,5.638536742539223
48,Medium,1.7416354014962172,5.4467264638370825,Wheat,Sandy,0.14731161291059447,3.34997866772028
49,Medium,1.7282525155274215,4.245264789294221,Rice,Loamy,0.32745453818774106,3.270902720887625
50,Medium,3.0514515175079646,8.852100681261772,Rice,Clayey,0.8571491340926767,8.465763244442368
51,Low,4.379190324752584,8.890115668374936,Rice,Sandy,0.9559857648139518,4.425799815634912
52,Medium,1.3184203079700225,7.3070158559251315,Maize,Sandy,0.47307370839446106,5.056514230517237
53,Low,3.8278252739736907,6.901520271332484,Maize,Sandy,0.9729450678812962,8.586682640021063
54,Medium,3.6173858386114306,7.603196133482712,Wheat,Clayey,0.6641928313826883,1.790115631469583
55,High,4.49007980731745,4.2938821090252635,Rice,Loamy,0.47425161018963824,6.351560677819446
56,High,1.976590242027629,4.6406732207556285,Maize,Loamy,0.8225212095711252,6.203941132357341
57,Low,2.8004394347401185,5.983342505998348,Wheat,Sandy,0.36579566812618103,4.826931123400077
58,High,4.70330949777407,9.442253146280207,Maize,Loamy,0.33921663522419654,8.467971772816837
59,High,3.6399738005412687,7.515998867076063,Rice,Clayey,0.6908929092199668,9.486010552021234
60,Medium,2.5550736514463877,5.95890320046601,Wheat,Loamy,0.45143862577128546,5.188022757222496
61,Low,1.5256495314210738,7.933717134070431,Rice,Sandy,0.2223262242504816,5.105323458985597
62,Medium,2.049940031602364,4.338012810145825,Rice,Sandy,0.16026781176091792,5.518573567036703
63,Medium,3.324861909957533,7.574200310299336,Maize,Loamy,0.8090583186236295,7.508116277497554
64,Medium,3.872671790242055,4.696086234544303,Wheat,Sandy,0.7083196586221101,7.012542616290661
65,Medium,1.497687547407574,3.516952663134875,Wheat,Clayey,0.47061840214594297,3.0055145428619836
66,Medium,3.398389040176216,6.4875164277006325,Wheat,Clayey,0.906604871653951,1.5750581373940897
67,Medium,3.201405115355004,7.181898036851661,Maize,Clayey,0.46977107719833966,9.543287168351105
