,Agroforestry_Impact_Measures,Tree_Species,Crop_Type,Soil_Type,Soil_Health_Index,Economic_Indicators
0,4.370861069626263,Oak,Soybean,Clayey,6.8091066052394,1617.6568047001056
1,9.556428757689245,Oak,Soybean,Clayey,1.7673398868913677,4928.94879590106
2,7.587945476302646,Oak,Soybean,Clayey,4.29271187815636,3246.2087902387266
3,6.387926357773329,Oak,Soybean,Sandy,1.3451691006701036,1883.619750313727
4,2.4041677639819286,Cherry,Maize,Sandy,9.862979825243212,4138.765598381024
5,2.403950683025824,Cherry,Rice,Loamy,8.40983737824436,2886.055212992256
6,1.5227525095137953,Pine,Wheat,Sandy,4.176469955346062,1838.584914383599
7,8.795585311974417,Oak,Rice,Loamy,4.458886010840607,3933.316051091506
8,6.41003510568888,Apple,Wheat,Sandy,4.3251743009104615,3942.5296094570263
9,7.372653200164409,Apple,Wheat,Loamy,6.917825210859049,4428.522326970114
10,1.185260448662222,Apple,Maize,Clayey,4.133412040206284,1137.9696616058434
11,9.72918866945795,Apple,Wheat,Clayey,2.9115392701227503,2941.2220827027313
12,8.491983767203795,Pine,Soybean,Clayey,3.4121631906472087,2750.358824861339
13,2.9110519961044856,Pine,Soybean,Loamy,8.160381237941234,4686.788765182228
14,2.636424704863906,Pine,Wheat,Loamy,1.9261726059145636,2598.508588168521
15,2.650640588680904,Oak,Rice,Clayey,4.870834475716165,4638.607957760596
16,3.7381801866358395,Cherry,Wheat,Sandy,4.562056333950004,4893.363085517858
17,5.72280788469014,Apple,Soybean,Loamy,6.012558314192915,4847.73003829626
18,4.887505167779041,Apple,Wheat,Sandy,1.5461085544154245,4710.272272614035
19,3.6210622617823773,Pine,Wheat,Clayey,1.3019624647495542,1908.8635962490412
20,6.506676052501415,Oak,Wheat,Clayey,7.251663732900243,3987.6853404986814
21,2.2554447458683766,Pine,Maize,Sandy,5.708178087301484,2826.543352476582
22,3.629301836816963,Apple,Wheat,Loamy,2.091291380758057,4264.053452975897
23,4.297256589643226,Apple,Rice,Sandy,4.466010408150286,4732.541813354563
24,5.104629857953324,Pine,Rice,Clayey,5.715628124143474,3599.5114785614433
25,8.066583652537123,Apple,Soybean,Sandy,4.179035522619664,4362.5630232841595
26,2.7970640394252375,Cherry,Rice,Loamy,2.025638441684803,2681.926733153803
27,5.628109945722504,Cherry,Maize,Clayey,2.354446622884797,4238.027904236343
28,6.331731119758382,Pine,Rice,Sandy,3.208055014373068,1695.2081521116522
29,1.4180537144799796,Cherry,Rice,Sandy,1.0110109356868913,1051.6900135877972
30,6.467903667112945,Cherry,Soybean,Sandy,7.55844763047359,3271.254481898095
31,2.5347171131856236,Pine,Soybean,Loamy,7.17921373712157,3471.037240693912
32,1.5854643368675156,Pine,Wheat,Sandy,8.930862832186781,2759.2614920191854
33,9.539969835279999,Pine,Rice,Sandy,2.0299686574503726,2105.3196842093703
34,9.690688297671034,Cherry,Soybean,Sandy,6.54098175480422,2664.940380116688
35,8.275576133048151,Apple,Wheat,Loamy,7.497839210333885,1295.7417304131948
36,3.741523922560336,Oak,Maize,Sandy,6.464396816317473,2298.47188629517
37,1.8790490260574548,Apple,Wheat,Loamy,4.201791302855962,3971.403839327101
38,7.158097238609412,Pine,Wheat,Loamy,3.934797386601362,4077.7338154529452
39,4.961372443656412,Apple,Wheat,Clayey,2.24519432942572,3060.8905922928584
40,2.0983441136030097,Oak,Wheat,Clayey,9.742774475272855,1912.797685517985
41,5.456592191001432,Apple,Rice,Loamy,1.9989112289568056,2141.266721071729
42,1.3094966900369656,Pine,Wheat,Loamy,7.142108129364624,2442.9829218345126
43,9.18388361870904,Oak,Maize,Clayey,8.968845607382761,2916.9820730345955
44,3.3290198344001523,Cherry,Wheat,Loamy,9.101490889041656,2181.3485436059796
45,6.962700559185838,Apple,Maize,Clayey,9.319327187396407,2101.593447453968
46,3.8053996848046987,Cherry,Soybean,Sandy,6.938214488511634,2926.041935875519
47,5.680612190600297,Cherry,Wheat,Clayey,2.1742218959074706,2441.3992081616752
48,5.920392514089517,Oak,Soybean,Sandy,5.679755115474466,3899.4112080412806
49,2.6636900997297435,Cherry,Maize,Loamy,4.945342328334517,4994.918826398602
50,9.726261649881026,Cherry,Wheat,Sandy,7.045381312071535,1151.8709634835868
51,7.976195410250031,Apple,Rice,Loamy,5.126824444654784,3286.176807728468
52,9.455490474077703,Oak,Wheat,Sandy,8.399581078822182,1873.7287861699085
53,9.053446153848839,Pine,Rice,Clayey,4.708203181715126,2960.0014057255885
54,6.381099809299767,Pine,Rice,Sandy,7.7838940533208305,2900.562287019601
55,9.296868115208051,Oak,Soybean,Loamy,9.56340253276379,3703.642014289063
56,1.7964325184672756,Cherry,Soybean,Clayey,7.542030253044476,4039.9045059652944
57,2.763845761772307,Apple,Rice,Sandy,7.865613278288368,3800.8761816786964
58,1.4070456001948426,Cherry,Soybean,Clayey,7.39812039790269,2386.6236173701354
59,3.927972976869379,Pine,Rice,Sandy,8.564512531344704,1196.8126483757214
60,4.498095607205338,Apple,Maize,Loamy,3.625413841687635,2171.068469582443
61,3.442141285965063,Oak,Maize,Sandy,9.9289207461302,4265.597558848622
62,8.458637582367365,Cherry,Wheat,Loamy,8.162467004291852,2741.232490263612
63,4.210779940242304,Cherry,Soybean,Clayey,7.821178702819501,3790.9720641895724
64,3.5284105871864266,Apple,Maize,Clayey,1.8056137552488747,3482.90559566513
65,5.884264748424236,Cherry,Maize,Loamy,3.99802405569549,3714.364558166187
66,2.2683180247728636,Oak,Maize,Loamy,3.2807461524696353,4004.8417290408333
67,8.219772826786357,Apple,Rice,Clayey,2.007401118935471,4468.595602429454
68,1.6709557931179373,Oak,Soybean,Loamy,9.225899841608982,1839.0407259680214
69,9.881982429404655,Oak,Maize,Sandy,6.490763775966881,1187.6072088164863
70,7.9502029236699165,Oak,Maize,Clayey,9.072497914116731,3063.7306682087246
71,2.7884411338075514,Oak,Soybean,Loamy,5.791360090858903,4633.859665361573
72,1.0496990541124216,Cherry,Rice,Loamy,9.19672408043369,1550.0847512373416
73,8.339152856093508,Apple,Maize,Sandy,9.334996396686167,4730.3399477118
74,7.361716094628554,Cherry,Soybean,Sandy,6.871872645004932,4455.127672112287
75,7.561064512368886,Pine,Rice,Sandy,5.508857660935708,4854.252536523171
76,7.941433120173512,Oak,Soybean,Sandy,2.99468299773194,2165.462308934377
77,1.6664018656068134,Oak,Maize,Sandy,9.226838464867285,2649.5181039814684
78,4.226191556898454,Pine,Soybean,Loamy,8.017114732404856,4328.166143019747
79,2.0428215357261674,Pine,Wheat,Clayey,4.019539159987271,2109.281008234592
80,8.767930832880342,Oak,Soybean,Clayey,7.006046423567102,4904.518704113413
81,6.609683141448022,Cherry,Wheat,Loamy,6.49991309426451,1521.6996839928784
82,3.9780822236738427,Cherry,Rice,Sandy,1.9682304058999547,2343.603983150068
83,1.5720251525742128,Oak,Wheat,Sandy,9.380104619694787,2838.4009843251556
84,3.79884089544096,Apple,Rice,Loamy,1.0533355189879543,1806.924752285287
85,3.9266498982407234,Pine,Soybean,Clayey,8.453192175632484,1231.1745726795511
86,7.566455605042576,Cherry,Wheat,Clayey,5.6028681040963,4529.628181167304
87,6.738017242196918,Apple,Wheat,Loamy,8.431638484001997,2272.396294049494
88,8.98491468318694,Oak,Maize,Sandy,6.00112097556315,3268.6168497632457
89,5.249934326457543,Oak,Soybean,Clayey,2.3792693774189164,1731.4289304792633
90,2.0763482134447155,Cherry,Soybean,Sandy,5.263227795791476,3944.0742650089087
91,7.419203085006955,Cherry,Wheat,Loamy,8.909409929589804,1417.7674756778927
92,7.847065437552077,Oak,Soybean,Clayey,3.066145084964572,3839.691866073894
93,6.051494778125466,Cherry,Rice,Loamy,2.0778290673527473,3594.3256822930293
94,7.938704619591049,Cherry,Soybean,Sandy,4.730366118887638,3369.653979347452
95,5.444160367279517,Cherry,Maize,Sandy,8.299010889810557,3732.6270517528064
96,5.704595464437946,Oak,Rice,Sandy,7.349841129360695,2037.6158217415593
97,4.847869165226946,Pine,Maize,Loamy,9.970719144367617,3405.7910620299713
98,1.2287721406968566,Apple,Soybean,Loamy,8.922600105541882,1138.0180785504415
99,1.97102284293974,Pine,Rice,Clayey,2.54240062718957,2031.2821539940628
100,1.2828626711806081,Oak,Maize,Sandy,8.091479656378844,3519.3859416009077
101,6.727693701374023,Apple,Soybean,Loamy,7.463134593571667,2774.3105612249674
102,3.82920382968694,Oak,Maize,Sandy,2.759072935940561,1084.0529118422126
103,5.577136220482325,Pine,Wheat,Sandy,8.023000612450002,3369.6871038582603
104,9.168098265334837,Oak,Rice,Sandy,3.183469424125187,4335.662158496225
105,3.2436300623398746,Cherry,Maize,Sandy,5.099547478862383,1003.766127302963
106,4.693446307320667,Cherry,Wheat,Sandy,3.4965429246805533,3757.827103550149
107,7.799960246887438,Pine,Rice,Clayey,5.061212773083169,1890.1257828200264
108,3.059183489424602,Cherry,Maize,Sandy,3.717638508238913,1423.3696318153552
109,1.6928191884591368,Pine,Rice,Loamy,6.932221990511072,3148.8367535627194
110,3.6077630762239123,Oak,Soybean,Loamy,8.218992283876187,3542.636981815949
111,2.4509915852860398,Oak,Soybean,Sandy,1.1675018849359675,1223.0975242736051
112,9.367278871083158,Pine,Wheat,Sandy,4.623186264065001,1141.4098883512463
113,8.273083416079754,Apple,Rice,Clayey,2.3090491162901565,4390.941746995482
114,6.700633808593811,Pine,Wheat,Loamy,1.1743063599390402,1264.892689148628
115,8.84314531168946,Apple,Soybean,Clayey,9.848470299198455,1110.913999118658
116,8.23304869209203,Pine,Maize,Loamy,7.063666080325533,2180.0532403163443
117,2.6791305299743224,Oak,Rice,Sandy,5.07070385436899,4186.169763215672
118,9.0330309864098,Cherry,Wheat,Sandy,4.879025906999006,3384.0689839709585
119,5.854080177240856,Pine,Soybean,Sandy,8.56789203742369,4194.798197047384
120,8.266961396476564,Apple,Maize,Sandy,6.136692632432974,1277.7260916328607
121,9.06482169931144,Cherry,Soybean,Sandy,7.741101013103717,2767.006549893069
122,3.8620312747467747,Apple,Soybean,Clayey,9.28379099502436,3873.2861683759265
123,1.9904673207490908,Apple,Maize,Loamy,8.952090039791354,3846.281851551579
124,3.051416462877475,Apple,Maize,Clayey,1.8548284714314698,3772.1740818944872
125,4.843970097636307,Apple,Rice,Loamy,5.373801227369013,4565.595844027352
126,8.362132893302437,Pine,Maize,Clayey,6.701413535136705,2119.0400771436457
127,8.74657524930709,Cherry,Maize,Sandy,5.1690532993637675,1612.3188092871374
128,1.0625691747807164,Cherry,Soybean,Loamy,3.611642003444725,1835.741610951236
129,5.596725723198092,Cherry,Soybean,Loamy,9.248007163277101,2609.6645490646933
130,4.7566990283390105,Cherry,Soybean,Clayey,9.087656726142061,1682.5751923857842
131,2.9989702942365724,Oak,Maize,Clayey,8.57666106799508,4531.517682136904
132,2.0787883060031453,Oak,Rice,Sandy,9.40044531604875,2625.393703965993
133,4.038536542632651,Pine,Soybean,Loamy,7.687288471539041,4884.655922814132
134,9.486187335212673,Cherry,Soybean,Sandy,4.508263470329251,4281.526541490402
135,3.908826388186797,Oak,Maize,Clayey,5.4791680053470495,3198.2506435368255
136,5.669115595690295,Cherry,Maize,Loamy,8.4160900810679,2919.848845397094
137,7.3271706300566,Pine,Wheat,Sandy,9.195114227732605,2099.7046572323907
138,4.272666421413646,Apple,Maize,Clayey,7.034114764309669,4440.124212864716
139,9.746038744488645,Pine,Soybean,Clayey,6.230289129139026,2508.5386878109402
140,9.662025654479,Oak,Maize,Clayey,9.034966304674548,2981.630256549799
141,3.2660406624282774,Oak,Wheat,Sandy,7.750122283523089,1642.9525000169285
142,5.475236553031469,Oak,Rice,Loamy,9.219095391736511,1261.0581701161873
143,3.707904788350927,Pine,Wheat,Sandy,8.946825506545476,2541.8715624667198
144,3.5635644493972087,Pine,Rice,Clayey,3.959223271379502,2421.237392828504
145,1.3319825261907952,Pine,Rice,Clayey,2.178508351311741,4856.00935915919
146,6.486079005819072,Cherry,Soybean,Clayey,7.3194369070131975,2069.5152027444133
147,5.524111209059753,Oak,Maize,Sandy,9.40396588461303,2141.3745397331704
