,Climate_Adaptation_Measures,Disaster_Risk_Reduction_Practices,Climate-Resilient_Crop_Varieties,Crop_Type,Soil_Type,Soil_Health_Index,Farm_Resilience_Index
0,Cover Cropping,Early Warning Systems,No,Maize,Loamy,9.527706824961141,2.0124816203249685
1,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,1.3714277263715968,7.518054135761526
2,Cover Cropping,Early Warning Systems,Yes,Wheat,Clayey,9.26967570294794,4.470928207984744
3,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,6.481734895189121,1.6604055076939837
4,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Clayey,8.265828706921472,8.314570444884271
5,Drought-Resistant Crops,Early Warning Systems,No,Rice,Loamy,4.454874580908498,6.21667513212952
6,Cover Cropping,Early Warning Systems,Yes,Wheat,Loamy,5.246586773538524,3.1218536157721575
7,Water Conservation,Early Warning Systems,No,Rice,Sandy,8.819656766210475,9.052130568994011
8,Cover Cropping,Emergency Preparedness,No,Rice,Loamy,4.733631728288408,1.407324824834963
9,Cover Cropping,Early Warning Systems,Yes,Wheat,Clayey,5.8119361007417645,2.816376473779866
10,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,1.1817543077589963,7.768422350252749
11,Cover Cropping,Emergency Preparedness,Yes,Rice,Loamy,2.427382052542381,7.384401372789003
12,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,6.775178571773198,3.6034452435203024
13,Cover Cropping,Early Warning Systems,No,Maize,Clayey,7.452792109574894,1.5582238781750481
14,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,6.2434084310604945,8.722702650024495
15,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Loamy,2.289790326480496,3.8232787426291233
16,Water Conservation,Emergency Preparedness,No,Rice,Loamy,5.008648857200513,2.761420734354387
17,Water Conservation,Early Warning Systems,Yes,Rice,Clayey,4.195852897268709,5.644556401248794
18,Water Conservation,Early Warning Systems,No,Wheat,Sandy,5.460952096315795,9.192044793542026
19,Water Conservation,Early Warning Systems,No,Maize,Sandy,8.83296131098685,1.3919192005903782
20,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,7.9827529479278665,7.8922367922779895
21,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,1.7559055125024305,6.152259051448381
22,Water Conservation,Emergency Preparedness,No,Maize,Clayey,9.01278277997108,4.829042048966352
23,Water Conservation,Emergency Preparedness,No,Wheat,Loamy,5.245904360348412,7.69672399694554
24,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,7.694759303973986,9.69241981997469
25,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,2.2603530813791695,3.062855900464219
26,Drought-Resistant Crops,Early Warning Systems,No,Maize,Sandy,7.036475731363432,2.2928262856490766
27,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,3.1269341584851214,9.215935707004274
28,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,4.945428074268384,7.020577697115733
29,Cover Cropping,Emergency Preparedness,No,Maize,Loamy,1.1517658307389396,4.941874194057694
30,Water Conservation,Emergency Preparedness,No,Wheat,Sandy,2.3644957413742844,6.159336132378548
