,Climate_Type,Soil_Type,Irrigation_Method,Crop_Type,Pest_Control_Method,Average_Temperature_Celsius,Rainfall_mm,Soil_PH,Crop_Yield_Tons_per_Hectare
0,Arctic,Loamy,Sprinkler,Rice,Chemical,13.47073839277767,171.86839256046687,6.336778541338248,3.5835094550724014
1,Tropical,Sandy,Flood,Rice,Organic,17.466099802457748,161.56713952172842,6.53531114777577,6.9665434608665
2,Arctic,Loamy,Flood,Rice,Chemical,18.350456122150607,138.64999386289307,6.869131887728427,5.521619977364649
3,Arctic,Sandy,Flood,Wheat,Chemical,16.01182245561837,130.91272891302006,4.076129014370954,4.012691202615928
4,Tropical,Loamy,Sprinkler,Maize,Chemical,23.13243898946258,114.09590648517349,4.420342380689771,8.438506002826553
5,Tropical,Clayey,Drip,Maize,Organic,28.377041025178194,195.90649603420795,5.43793380730885,7.549489866940391
6,Arctic,Sandy,Sprinkler,Rice,Chemical,18.011907482105446,134.028883135135,4.619439990086327,4.5424930775015975
7,Temperate,Sandy,Sprinkler,Rice,Chemical,13.846863129500429,88.09495974683333,4.301280170178217,8.628560067059855
8,Arctic,Sandy,Flood,Wheat,Organic,15.414455163919667,84.51361880600594,6.563857583989328,9.282324251005967
9,Arctic,Clayey,Drip,Maize,Organic,27.08001646992738,141.70295461627126,7.261345909964396,5.831796403759262
10,Arctic,Loamy,Sprinkler,Wheat,Chemical,21.432794465402957,128.42412909663932,7.0105066297371295,2.934572051412287
11,Arctic,Clayey,Flood,Maize,Organic,19.100220646139146,51.15467044320692,7.268159114436717,9.242129408922882
12,Tropical,Sandy,Sprinkler,Wheat,Organic,12.992734430178533,174.5098058293669,6.663426176231509,2.705316580859655
13,Arctic,Loamy,Sprinkler,Rice,Organic,18.994546166475637,155.61835313486517,6.941381287256808,1.4358090377554222
14,Temperate,Clayey,Flood,Wheat,Chemical,15.569840067147734,149.27439345171553,5.087115096833205,3.9473830798581777
15,Tropical,Sandy,Flood,Wheat,Organic,28.863262557066985,60.317098654648845,7.972032145136657,7.542697100149359
16,Temperate,Sandy,Drip,Rice,Chemical,27.681402188314625,104.30837752587371,4.732662617975548,9.309466777181946
17,Temperate,Clayey,Sprinkler,Maize,Organic,11.67805083656396,190.30733910991793,4.85797549755753,6.735570821329959
18,Temperate,Clayey,Flood,Maize,Organic,20.333069785224858,179.38838620120455,5.155687327263387,9.56654692269994
19,Temperate,Clayey,Flood,Rice,Chemical,14.501166910293442,92.83144068043,7.9013297204263155,1.8313375534830696
20,Tropical,Sandy,Drip,Wheat,Organic,18.215541790485812,73.55883261487081,7.953154357415624,1.5467835662921805
21,Tropical,Clayey,Drip,Wheat,Organic,27.53695996502913,117.36319357528656,7.17957499882599,6.437727556692977
22,Temperate,Sandy,Flood,Wheat,Organic,20.550290397770894,103.37455680014912,6.516230394238535,9.695046902434793
23,Temperate,Clayey,Drip,Maize,Organic,16.684305867415198,152.33395650589864,6.080250300738454,5.524491780592516
