,Transportation_Method,Storage_Facility_Type,Distribution_Network_Type,Food_Waste_Metrics,Crop_Type,Soil_Texture,Soil_Health_Index,Supply_Chain_Sustainability_Index
0,Ship,Dry Storage,Global,1.1623428485387803, Millet,Sandy loam,85.33558668212095,1.7812411634317171
1,Truck,Dry Storage,Global,4.654909976025837,Rice,Clayey,69.66212022783427,1.1947662097712621
2,Ship,Cold Storage,Local,4.331976554212002,Wheat,Silt,80.67775116414617,6.346114308172756
3,Ship,Dry Storage,Global,2.190282865763262,Rice,Silty clay,59.296147065687876,8.76820566270845
4,Truck,Dry Storage,Regional,4.157162618708419, Millet,Silty clay,56.70439052695591,6.259973177265723
5,Truck,Dry Storage,Regional,1.1248542413549902,Beans,Silt loam,36.87462223342045,2.9191137890097774
6,Ship,Dry Storage,Regional,4.867462201173574,Beans,Loam,66.66989249299758,1.814679081542919
7,Rail,Cold Storage,Regional,3.1063797703591574,Wheat,Silt loam,66.01515153999644,7.296368075359615
8,Ship,Dry Storage,Regional,2.213124104261781,Maize,Sandy clay loam,62.76714311147237,7.495932495860286
9,Ship,Cold Storage,Global,2.4503328503787083,Rice,Sand,81.83628552777145,2.552785306183978
10,Ship,Dry Storage,Global,1.2656214138419895,Wheat,Sand,88.27530800226481,1.2537128394688266
11,Ship,Cold Storage,Regional,4.957398056168157,Maize,Silty clay,82.55527724639558,4.674551619008773
12,Truck,Cold Storage,Global,1.1571677806027698,Rice,Sand,40.07060199647907,6.244468319197199
13,Ship,Cold Storage,Global,3.619628492591436, Millet,Loamy sand,73.54416564974755,7.354021686104721
14,Rail,Cold Storage,Regional,2.7709437108258332,Beans,Silty clay loam,35.62261739826734,8.289505082376126
15,Truck,Cold Storage,Global,4.795664872754861,Maize,Silt loam,78.62356012083336,6.494836845760591
16,Rail,Dry Storage,Global,1.9839989612271807,Rice,Silty clay loam,56.72873675927887,1.9979254773863653
17,Rail,Dry Storage,Global,3.1283472957520453,Wheat,Silt loam,39.274926938640064,7.143235049281733
18,Rail,Dry Storage,Regional,2.929424834331012,Rice,Sandy clay loam,90.34355998832895,9.85758978605394
19,Rail,Cold Storage,Global,3.8114657762004054,Wheat,Silt,72.98058373272562,9.150261261376635
20,Truck,Dry Storage,Local,1.272040927809682,Beans,Loamy sand,54.83074775632693,8.845020183425614
21,Truck,Cold Storage,Local,1.7751565200934194,Beans,Sandy loam,32.15090257553497,3.719531380225068
22,Rail,Cold Storage,Regional,1.8582592803713993,Rice,Silt loam,67.61171813025274,7.757093588086006
23,Rail,Dry Storage,Local,3.9526030193667587,Rice,Loam,94.62581149403628,8.659931013686311
24,Truck,Dry Storage,Regional,1.7565547853069603,Wheat,Silty clay,71.7465882891656,7.104935841681368
25,Truck,Cold Storage,Local,3.2939670555639067,Wheat,Silt,98.01554232336451,3.2550558091118247
26,Truck,Cold Storage,Local,1.8609752820038148,Maize,Clay loam,39.5515782789321,9.584505746874624
27,Ship,Dry Storage,Local,4.446499800335914,Maize,Clay loam,69.78135732163858,5.057374703128083
28,Ship,Dry Storage,Regional,4.768741817958555,Maize,Sandy loam,85.86875336045006,2.1682500279929147
29,Ship,Dry Storage,Regional,3.073971899768962,Rice,Loam,66.78785117880014,1.988001055516528
30,Rail,Dry Storage,Global,2.409235536836713,Maize,Sand,36.374644919123085,6.827670885691412
31,Ship,Cold Storage,Regional,1.9362311000699965,Rice,Loamy sand,70.80202010830524,4.939386817750652
32,Rail,Dry Storage,Local,1.199124006092175,Beans,Silty clay loam,72.82165340897302,1.8503548766106725
33,Rail,Dry Storage,Local,2.0740003047899815, Millet,Clayey,81.00964739327468,7.663281149404852
34,Ship,Dry Storage,Regional,3.6169431197812716,Beans,Sandy clay,83.28480606158317,8.193926505327578
35,Rail,Cold Storage,Regional,3.1344677252368434,Rice,Sandy clay,83.95408817474251,7.528740677078062
36,Ship,Cold Storage,Regional,4.77616511312371,Rice,Loamy sand,76.44110755472762,2.820347899156116
37,Ship,Cold Storage,Global,2.5851090499668024, Millet,Clayey,45.106783049306074,7.207979103964624
38,Truck,Cold Storage,Local,3.775453369313578,Wheat,Silt,58.29650290876356,1.0965052260494659
39,Ship,Dry Storage,Global,2.9572909899004856,Wheat,Sandy clay loam,84.3290980830079,3.746009257105683
40,Truck,Cold Storage,Global,3.0503048636968466,Wheat,Silt,96.73988883805693,4.589393782667893
41,Ship,Dry Storage,Local,2.07109725841647,Maize,Clay loam,35.52628753856354,8.517222539969513
42,Ship,Dry Storage,Local,2.8198031073679988,Wheat,Silty clay loam,67.48756744580363,4.513549357624639
43,Truck,Dry Storage,Regional,2.883139988050829,Maize,Clay loam,51.87655899270145,1.1014250157045846
44,Truck,Dry Storage,Regional,3.8265700869957358,Maize,Silt loam,45.77757260217808,4.171117706452085
45,Ship,Cold Storage,Global,4.762559996744455,Wheat,Clay loam,65.40674784638006,5.490316885233585
46,Rail,Cold Storage,Regional,2.317285109930017,Wheat,Sandy clay,72.42625383895756,9.54104308005496
47,Truck,Cold Storage,Regional,1.1688018743251938, Millet,Sandy clay,30.684056199363688,9.469308734105903
48,Rail,Dry Storage,Local,2.985180502002559, Millet,Silty clay loam,84.61446005408337,2.627866343992704
49,Rail,Dry Storage,Local,3.1778453285966743,Maize,Clay loam,87.39174918816133,2.666318875655064
50,Rail,Dry Storage,Regional,1.673762204527661, Millet,Loamy sand,97.5857577197553,2.4704331081809543
51,Truck,Dry Storage,Local,4.041858425104267,Maize,Loamy sand,42.64506132572865,8.10029739172693
52,Rail,Dry Storage,Regional,4.939716433765966,Rice,Clayey,71.61867936526636,1.0541983633156573
53,Truck,Cold Storage,Local,4.783098868033844,Maize,Sandy loam,59.863776143347614,2.144594783726896
54,Rail,Dry Storage,Local,1.7884241552946087,Maize,Sandy clay loam,53.43794960887455,5.841636684796891
55,Ship,Cold Storage,Local,4.501452959603043, Millet,Silty clay loam,69.59434160062533,3.22805860198089
56,Ship,Dry Storage,Local,3.817974545646739,Rice,Clay loam,84.76681652564852,1.8312081241533589
57,Truck,Dry Storage,Regional,2.8153862552276463,Beans,Silty clay loam,31.61369484116471,4.238902111004509
58,Ship,Cold Storage,Global,3.162443977298916,Beans,Silt,97.85800787963308,3.467868445542203
59,Ship,Cold Storage,Local,4.398400699929832,Beans,Sand,86.69171099939976,5.599938758628561
60,Rail,Dry Storage,Regional,2.9205397585534927,Rice,Clayey,82.58075925519049,9.813102344471762
61,Truck,Dry Storage,Regional,2.4928294764205075,Wheat,Loam,83.22711675263525,2.118741731334266
62,Rail,Dry Storage,Local,2.9729899721039432,Rice,Silt,57.23424967330568,4.354540343506849
63,Rail,Dry Storage,Global,3.3165192161401964, Millet,Clayey,82.61343855913697,9.387865160852272
64,Rail,Cold Storage,Local,1.7563106151133954,Maize,Silt,57.07391460220703,8.891857391444404
65,Rail,Dry Storage,Regional,4.603630921067962,Maize,Clay loam,92.90947807023551,4.548439313058525
66,Rail,Cold Storage,Global,3.6967477953184553, Millet,Sand,42.40556683145287,7.290579380677628
67,Rail,Dry Storage,Regional,3.5330756693499556, Millet,Silty clay,50.4643196950606,1.79071312223211
68,Rail,Cold Storage,Local,1.3979849047225525,Maize,Loamy sand,68.59362798893532,7.412869499892536
69,Truck,Cold Storage,Global,3.416695752690367,Wheat,Loamy sand,52.344772512109074,9.755719565362673
70,Ship,Dry Storage,Regional,1.4838426489539693,Wheat,Silt,59.69660717066914,5.837393375507724
71,Rail,Cold Storage,Regional,1.3147907007815962,Wheat,Silty clay,64.46958825790162,5.486412043309729
72,Rail,Dry Storage,Regional,3.1092435825695732, Millet,Sandy clay loam,89.94473441694561,2.685867577317193
73,Rail,Cold Storage,Local,2.61114213618598,Maize,Loamy sand,66.62345775260849,6.704093790165627
74,Rail,Dry Storage,Global,3.355241080624893,Maize,Silt loam,55.372189403019235,6.3139355270102335
75,Rail,Cold Storage,Local,1.3568886722289544,Maize,Silt,47.34153148245811,6.8673975352817545
76,Rail,Dry Storage,Local,2.7239322513890336,Rice,Loam,58.607318515453805,1.2347495801624964
77,Ship,Dry Storage,Local,1.6991468601806319,Rice,Sand,66.10152730900589,5.938511395141663
