,Gender,Resource_Access,Women_Empowerment_Metrics,Crop_Type,Soil_Type,Soil_Health_Index,Social_Impact_Index
0,Pangender,Abundant,4.33077498539768,Maize,Sandy,6.825884260783891,1.282417192151677
1,Gender neutral,Limited,2.9736268016535807,Rice,Clayey,3.2173419983286453,3.8377441017910283
2,Genderqueer,Moderate,4.646531654833902,Wheat,Loamy,4.553712689753898,3.4070087295587053
3,Non-binary,Limited,4.712056946917524,Rice,Loamy,7.149732873436193,9.546354957590838
4,Pangender,Limited,1.6616806085136373,Rice,Loamy,9.02612540334842,2.6680471199230245
5,Third gender,Moderate,1.009293624527721,Wheat,Sandy,3.839927262804237,7.363465540426833
6,Transgender,Moderate,4.9357237605696085,Wheat,Sandy,2.9393705974868625,1.384781839743637
7,Pangender,Moderate,4.624550144509918,Wheat,Loamy,6.343263809342702,2.779156771248147
8,Genderqueer,Moderate,1.2217809428153656,Wheat,Loamy,1.6047738829244182,4.047376188289175
9,Non-binary,Limited,4.33213705576428,Rice,Clayey,7.430875313050047,8.150552630872674
10,Gender neutral,Moderate,2.8312197302368265,Maize,Loamy,7.328246889587327,8.109789220556204
11,Genderqueer,Moderate,2.035846420099901,Rice,Sandy,4.194694278875396,9.573416755688458
12,Genderqueer,Abundant,4.514986094707719,Wheat,Sandy,9.034098880104114,9.250907524001963
13,Transgender,Moderate,1.786668929561229,Maize,Sandy,5.519630273852147,1.733631355405147
14,Agender,Moderate,4.789199997680267,Maize,Clayey,6.811884556236431,8.468809499302264
15,Non-binary,Abundant,1.8224859507973643,Rice,Loamy,2.8862063374450404,5.060562215860151
16,Female,Abundant,3.454732750914974,Rice,Sandy,4.756063016440001,8.7929748165676
17,Genderqueer,Limited,1.8923453381158994,Rice,Clayey,8.761757862427913,1.803576263780175
18,Agender,Abundant,3.182674659874539,Maize,Clayey,2.916455928691085,8.404921913566021
19,Female,Limited,3.7359005196605652,Maize,Sandy,4.515169398332219,2.4367826710069687
20,Non-binary,Abundant,1.7609117232805502,Maize,Clayey,3.862688899853169,4.00457467062408
21,Male,Abundant,3.083543130802717,Wheat,Clayey,2.359991663783021,1.259635602610195
22,Third gender,Limited,2.876238977560476,Wheat,Sandy,3.60746126314782,2.1135527936842466
23,Agender,Abundant,1.284149685613365,Rice,Clayey,3.0949505521769507,5.011532968711444
24,Two-spirit,Limited,4.273231270701212,Maize,Sandy,9.312342674151946,8.365045020710234
25,Male,Abundant,2.342729602571367,Rice,Sandy,7.6697092408851635,7.963027942285448
26,Third gender,Moderate,3.2983287902075182,Maize,Clayey,3.844914236045419,3.117679855986819
27,Transgender,Abundant,3.0591369397325376,Rice,Sandy,7.870051479184388,2.3652140416235286
28,Pangender,Limited,3.053042018281769,Wheat,Sandy,1.1992595773048427,4.50337116683593
29,Gender neutral,Abundant,1.4288895768339498,Maize,Loamy,5.738722396940259,8.949415124915962
30,Two-spirit,Limited,2.693928036997331,Wheat,Sandy,3.253011073612058,1.8228256674670285
31,Transgender,Limited,2.809467036826281,Maize,Loamy,2.0288986462766276,5.886226093099152
32,Non-binary,Moderate,3.934571361457794,Rice,Loamy,8.953826755046396,1.799267314627377
33,Transgender,Moderate,4.360075327682794,Maize,Loamy,2.7940648083631534,5.23190909047815
34,Pangender,Limited,3.179929112400072,Wheat,Loamy,8.401519836516542,2.1411236094488406
35,Non-binary,Abundant,1.347131816259962,Maize,Clayey,4.719004097425941,1.723032414994283
36,Two-spirit,Limited,1.947397882386185,Rice,Clayey,1.1286169303663032,2.717643997572263
37,Pangender,Limited,1.6597361074109243,Maize,Sandy,7.592795463709227,3.2973041743188958
38,Female,Abundant,1.498460252756499,Wheat,Sandy,6.367237823974311,3.4863884121828232
39,Gender neutral,Abundant,2.4635971944712303,Rice,Sandy,4.097546948510374,6.807411525225995
40,Two-spirit,Abundant,1.9175740086175281,Wheat,Clayey,3.5339134053363703,1.4948368806059313
41,Female,Abundant,1.8732124472460492,Maize,Loamy,1.6632212713339125,1.7272815391482772
42,Third gender,Limited,1.2187726983050706,Wheat,Clayey,9.47283035351745,2.698355453313404
43,Two-spirit,Limited,1.0706801791817355,Maize,Clayey,5.4458639622287714,8.848567622632798
44,Third gender,Moderate,1.4110729705991272,Rice,Sandy,1.7697206581849723,6.657444334569095
45,Non-binary,Limited,1.6887899176945322,Wheat,Sandy,8.818117459700234,7.5733269326916
46,Female,Abundant,2.7239349153928125,Wheat,Sandy,3.5094985553603504,4.333259400018933
47,Gender neutral,Moderate,3.0420810451953786,Maize,Loamy,2.8324244416118933,2.918983141630008
48,Pangender,Abundant,1.5623676726934623,Wheat,Loamy,3.5284369450799686,1.3416522486662152
49,Genderqueer,Limited,2.699133366096745,Wheat,Clayey,6.081143127464002,5.39682057974703
50,Transgender,Moderate,2.366995369303709,Rice,Loamy,1.6665083604733284,6.168528678045816
51,Male,Abundant,1.7336945739918241,Maize,Sandy,5.335812182104088,9.073025149399406
52,Gender neutral,Moderate,1.0273629925934542,Maize,Loamy,9.061691006118814,8.938836808740945
53,Female,Moderate,2.868071466086967,Rice,Loamy,2.693544362615115,4.822166426250295
54,Genderqueer,Limited,3.7426069970607974,Rice,Loamy,3.9806989493701948,4.812201361031159
55,Gender neutral,Abundant,1.905109336575228,Maize,Loamy,4.565097685464875,2.4501060704425033
56,Female,Moderate,1.5272273195867174,Rice,Sandy,6.275986403745207,3.3170408905833177
57,Agender,Moderate,4.548170977787848,Rice,Sandy,9.273288218736804,9.330972186888022
58,Agender,Abundant,2.100099089951191,Rice,Clayey,4.55085287418183,2.2693240984168193
59,Third gender,Moderate,1.8944504791706591,Maize,Clayey,1.6223755660998727,9.718295920692864
60,Gender neutral,Moderate,4.428387758439664,Rice,Clayey,4.131557752878932,5.542646951936768
61,Agender,Moderate,4.268428396667045,Wheat,Loamy,2.710768713398603,5.10946097290148
62,Female,Abundant,2.7933858820985344,Wheat,Loamy,6.86597030937193,2.5717454261771904
63,Third gender,Abundant,2.956955445711098,Maize,Sandy,1.2633589825059897,6.953871254342327
64,Female,Abundant,1.870994819336088,Rice,Clayey,3.6273697396576603,5.138609665260231
65,Third gender,Abundant,1.31320668191823,Wheat,Sandy,5.906561565093579,4.335967611218991
66,Gender neutral,Limited,3.2937273014226442,Maize,Clayey,3.4960078544459883,3.3806459672676277
67,Genderqueer,Moderate,1.3933796863608525,Wheat,Clayey,5.958957550107288,1.5983812271338478
68,Pangender,Abundant,2.7970981878265992,Rice,Clayey,2.0324108996846486,5.673953048959862
69,Two-spirit,Moderate,4.7619887940520425,Maize,Loamy,9.485249391906603,3.816174997527731
70,Genderqueer,Moderate,4.8113375566823375,Wheat,Clayey,3.6181612659689804,7.370786827024949
71,Non-binary,Limited,1.9573291461894344,Maize,Clayey,9.307007554508951,7.5117012107423715
72,Female,Abundant,3.4964536801826176,Wheat,Loamy,3.932518955537309,3.9889631038401676
73,Non-binary,Abundant,2.8963050564314305,Wheat,Clayey,8.03656172055689,7.022086152100848
74,Genderqueer,Moderate,4.502740510344424,Rice,Loamy,3.215686217151277,3.3280771625154486
75,Third gender,Abundant,2.085723457104213,Rice,Loamy,7.02792012150641,7.544563536179377
76,Two-spirit,Moderate,1.0148096273296674,Wheat,Sandy,3.9134459244049045,1.144694309906998
77,Two-spirit,Moderate,1.6502448237256604,Maize,Loamy,5.582432162886929,2.3644789028678153
78,Male,Limited,2.398091204677592,Maize,Loamy,7.064327311873126,3.205077957166926
79,Two-spirit,Limited,2.2628845190819544,Rice,Loamy,6.299942546826645,7.956419382878558
80,Pangender,Limited,4.165451676491544,Wheat,Clayey,6.186525339553249,1.5973862777596768
81,Two-spirit,Moderate,3.7222426645553512,Rice,Sandy,1.5911275209185556,2.6925142934397783
82,Genderqueer,Abundant,2.198225278459589,Wheat,Clayey,3.2416914895443263,4.227616949546746
83,Male,Limited,2.8309752686648535,Wheat,Loamy,6.146553608708874,1.082574947376198
84,Genderqueer,Abundant,1.382236415833341,Rice,Loamy,1.1648548649415256,7.859088778369677
85,Genderqueer,Limited,4.5925857792804035,Maize,Sandy,3.255798296043817,6.040946347049211
86,Transgender,Limited,4.741699297794137,Rice,Sandy,3.0626671548807707,9.106114483180155
87,Male,Moderate,4.919214141523753,Wheat,Loamy,3.24870499144751,1.279279292904509
88,Genderqueer,Limited,4.474211323143351,Rice,Loamy,5.8204854960998835,3.4425161538968823
89,Transgender,Limited,1.6958435507849021,Maize,Clayey,6.237643186172732,7.581264916930319
90,Transgender,Moderate,1.1847859328065153,Maize,Loamy,9.180981949355301,7.07634477504077
91,Male,Abundant,3.318386909650696,Wheat,Clayey,4.474279441235973,3.187516965442371
92,Non-binary,Limited,4.650420107532442,Rice,Sandy,9.339210254288133,6.3611896147125595
93,Third gender,Moderate,1.7094054466389714,Maize,Clayey,6.867589104857532,8.143818877969784
94,Pangender,Limited,1.0281716584965674,Rice,Loamy,9.213943563105001,1.3004263300115326
95,Third gender,Moderate,4.221984184128978,Maize,Clayey,8.501248915120435,7.458655571824734
96,Two-spirit,Abundant,1.307182737146936,Wheat,Clayey,7.188241990669187,3.26887358602578
97,Pangender,Abundant,2.6548241276401217,Wheat,Sandy,4.204953095670635,9.53066159680719
98,Two-spirit,Moderate,3.71554934875514,Rice,Clayey,3.1699940291669666,5.843981992249975
99,Genderqueer,Moderate,1.9471903418247205,Wheat,Loamy,3.00152291960829,1.3004756436815301
100,Female,Moderate,1.3358502537869068,Maize,Clayey,9.569564537106531,4.630875569042997
101,Male,Abundant,4.080084913823315,Wheat,Clayey,9.627164588164224,9.69680672397537
102,Pangender,Limited,3.5207003395481657,Maize,Clayey,7.523482361718781,7.573356939197922
103,Pangender,Abundant,4.953961937947219,Maize,Loamy,8.954163856688297,3.7043110331781595
104,Genderqueer,Moderate,2.377232133279837,Wheat,Clayey,9.270965467711545,6.177405648824796
105,Non-binary,Moderate,1.2470495451607988,Maize,Loamy,5.60400576867381,6.391912200576366
106,Transgender,Abundant,3.937400141341183,Maize,Clayey,6.6615372156265495,1.210133447048892
107,Genderqueer,Moderate,3.0869336754129826,Rice,Sandy,4.768790481281931,2.609500251242998
108,Agender,Abundant,1.8528157255565403,Rice,Sandy,4.766416878567368,5.965992444810051
109,Transgender,Moderate,4.126915956019038,Rice,Sandy,1.3458602678015317,4.624773026416201
110,Male,Limited,1.815021943399775,Wheat,Loamy,4.904393144363249,2.710340330681447
111,Transgender,Limited,2.0426466193317463,Rice,Loamy,7.06140830361865,7.954018613777529
112,Non-binary,Moderate,1.3701142174668766,Maize,Loamy,4.79783949495914,5.400953926108864
113,Transgender,Abundant,2.5977291161234177,Wheat,Clayey,8.851687091892607,3.7897582813016424
114,Male,Limited,2.6757168957496757,Wheat,Loamy,3.9930665716631637,2.4550961177417134
115,Non-binary,Abundant,3.0582471613931936,Wheat,Loamy,2.194138419047645,6.500470265124678
116,Third gender,Moderate,3.83585706849511,Wheat,Loamy,8.304028216561534,6.996351723952338
117,Pangender,Abundant,4.624403714721703,Maize,Loamy,7.065531264957328,7.026374949193857
118,Pangender,Limited,1.5509363955512345,Maize,Sandy,3.176375340885236,2.982586242598325
119,Two-spirit,Abundant,1.2173923933946282,Rice,Clayey,5.828061304380097,6.3580456650011685
120,Third gender,Abundant,1.0741249343773331,Wheat,Sandy,4.616671047344132,9.148658183725846
121,Third gender,Moderate,1.574485512275265,Rice,Clayey,9.44973798792092,4.178688406866888
122,Transgender,Moderate,3.6317979431265037,Maize,Clayey,6.465988818285661,2.896902393776597
123,Pangender,Moderate,3.9099083119859865,Wheat,Sandy,2.4255033506829244,7.949345644186858
124,Male,Limited,4.146022854112489,Maize,Loamy,5.519336073732866,2.5919464614350627
125,Gender neutral,Limited,1.9748328476173707,Rice,Sandy,8.763011492714657,3.2837384835540275
126,Gender neutral,Moderate,2.2235792530460796,Maize,Clayey,7.043470030292155,1.9057995488076624
127,Non-binary,Moderate,2.932538582261998,Wheat,Clayey,8.582068684887906,3.4108688446720237
128,Pangender,Limited,1.252732387440906,Wheat,Loamy,3.2535938247907628,4.693015595934805
129,Pangender,Limited,3.4445660928449846,Rice,Sandy,8.995162393427876,1.57742075748692
130,Gender neutral,Limited,4.934940134703031,Wheat,Clayey,7.800501986417548,8.845380198075706
131,Pangender,Limited,2.4432252455120103,Maize,Sandy,7.560223798942708,5.623073129950171
132,Transgender,Moderate,4.011389900365536,Maize,Loamy,4.118869627871719,6.292932686996774
133,Agender,Limited,3.000135662278432,Maize,Loamy,8.988922573844754,4.34157180790109
134,Female,Moderate,1.511247377441531,Maize,Clayey,6.741814396538949,7.0285170659852065
135,Third gender,Abundant,3.3289497952103453,Rice,Loamy,8.666555291765222,4.886035622659277
136,Two-spirit,Abundant,2.19949707377626,Maize,Clayey,4.248743103876446,7.8518239708532045
137,Non-binary,Limited,1.137612833813833,Rice,Clayey,2.3108688195792086,8.392619291638665
138,Agender,Abundant,3.539718920470975,Maize,Loamy,3.9910346219829007,7.046642006978705
139,Gender neutral,Abundant,4.4357293972989105,Rice,Loamy,5.097379126376643,5.422020572568075
140,Third gender,Abundant,2.3790790675994966,Maize,Sandy,5.800666376309431,8.040424155420048
141,Pangender,Limited,2.561182188851082,Maize,Sandy,5.597282941403837,5.448567802643642
142,Two-spirit,Limited,4.564086731868846,Rice,Clayey,5.91449133192908,2.003589139326119
143,Pangender,Abundant,4.254435253469424,Wheat,Sandy,8.575351887006526,2.0470620091969556
144,Male,Moderate,3.8598112942071086,Wheat,Clayey,2.5309112156935294,9.53724825669701
145,Male,Abundant,1.9951882550125917,Wheat,Loamy,3.844461656519838,2.922067076120885
146,Two-spirit,Limited,4.6408666198665784,Rice,Loamy,8.997476413919063,8.343324919197787
147,Two-spirit,Limited,1.617663030156852,Wheat,Sandy,6.044123841024972,3.2203486654752567
148,Gender neutral,Limited,3.5070820776688874,Wheat,Clayey,6.250508833326149,4.877020844711348
149,Two-spirit,Abundant,1.1152047221860748,Rice,Clayey,5.302562901525571,6.894533008883297
150,Transgender,Moderate,3.5748792252997834,Wheat,Sandy,5.940771714875252,2.429804556063137
151,Pangender,Limited,2.1085774074934394,Wheat,Clayey,2.7827175750409108,7.635218395274897
152,Agender,Limited,2.79870790873488,Wheat,Clayey,5.921802094763154,7.209216753008844
153,Genderqueer,Abundant,2.3810582082282123,Rice,Loamy,9.974558151200052,5.8877460019520464
