,Sensor_Type,Satellite_Imagery_Index,IoT_Device_Type,Crop_Type,Crop_Rotation_Practice,Average_Temperature_Celsius,Rainfall_mm,Soil_PH,Yield_Monitoring
0,Nutrient,EVI,Soil Sensor,Cotton,No,28.185300869106815,70.50426117335545,6.519534814684798,1.9778390121963743
1,Moisture,EVI,Weather Station,Cotton,Yes,20.243399118677743,132.69958245384518,6.963270631728461,4.35499341210358
2,Nutrient,LAI,Soil Sensor,Cotton,No,17.20284228277876,140.81005579300162,7.345783585038451,3.184249586101611
3,Nutrient,LAI,Soil Sensor,Corn,Yes,19.300706494613458,155.8253990994706,4.218958543639747,5.657189982883537
4,Moisture,LAI,Weather Station,Soybean,No,23.797920066267217,152.0320056400502,7.104195835477521,8.590250159847905
5,Moisture,EVI,Drone,Corn,Yes,27.679955537423734,93.84999669250737,6.454825927398307,4.9264042132397785
6,Nutrient,EVI,Drone,Cotton,Yes,14.139726060002392,99.54665080952698,4.2780311860607725,4.900078273314907
7,Temperature,EVI,Soil Sensor,Cotton,No,28.36386316923406,152.22718031635068,6.03431168747486,9.148158120943332
8,Nutrient,LAI,Weather Station,Soybean,Yes,26.303604639397783,102.41714611754425,4.3298323119358155,6.185668712565452
9,Nutrient,EVI,Drone,Cotton,Yes,29.57712030356469,81.89347844289696,6.94378880689289,6.0957197865766615
10,Nutrient,NDVI,Soil Sensor,Corn,No,27.605035465633744,106.15042305451092,6.186006855591533,3.3571890268785043
11,Nutrient,NDVI,Soil Sensor,Corn,Yes,15.598746593838133,90.81262363669666,7.814294149649189,6.469504730534137
12,Moisture,EVI,Weather Station,Soybean,Yes,12.119118226880953,63.24690818278667,4.732541486287079,6.183194206756568
13,Nutrient,NDVI,Soil Sensor,Corn,No,12.244821439831773,174.520835341498,6.424133810081514,4.571663233076776
14,Temperature,NDVI,Drone,Corn,Yes,15.824466371565522,177.96670837355543,4.846328538281965,9.916260093092625
15,Moisture,LAI,Weather Station,Corn,Yes,22.283674479690784,82.96254502503191,6.456259938909593,8.93701868453278
16,Temperature,EVI,Drone,Corn,Yes,26.086406521943452,59.715829928780266,6.890598809443426,7.74627661069134
17,Temperature,EVI,Drone,Cotton,Yes,27.985006139631295,160.82411560267693,6.889217317318154,5.836110295717004
18,Temperature,LAI,Drone,Corn,Yes,22.475067687384655,81.72929387951206,7.2602959627304395,5.158538217051673
19,Temperature,NDVI,Soil Sensor,Soybean,Yes,10.112626254961075,109.01532341552904,7.414200911833267,2.6640765570087943
20,Moisture,NDVI,Soil Sensor,Soybean,Yes,13.72633553037067,59.620287835607485,4.309086905068709,3.7516372661316133
21,Moisture,EVI,Drone,Corn,Yes,11.994524077067359,83.94043771376528,5.373068628289616,7.965647198408892
22,Temperature,NDVI,Drone,Soybean,No,17.2664895113802,168.93534174944537,6.748490081439223,5.083740585437963
23,Temperature,LAI,Weather Station,Corn,Yes,20.02701987267492,170.65946703728028,5.9943451495648485,8.940425649125512
24,Moisture,LAI,Weather Station,Soybean,Yes,10.867943571571217,81.06272373315656,4.762703787019166,2.331200227109759
25,Moisture,EVI,Soil Sensor,Soybean,No,16.969559515913105,100.38707676600343,6.210838280666792,5.5751238641227285
26,Moisture,LAI,Soil Sensor,Corn,Yes,13.583593492506452,70.13576286406153,5.629742611064575,6.8226911561917785
27,Nutrient,LAI,Weather Station,Corn,Yes,22.94140332517748,61.12589454273836,5.56015311061722,5.651636106771334
28,Nutrient,EVI,Drone,Cotton,Yes,19.2854473864868,198.82575716726143,7.239014869742656,9.003042024264884
29,Nutrient,LAI,Soil Sensor,Corn,Yes,19.906352938678175,148.33909268672588,5.6303933353287245,9.906069536462258
30,Temperature,LAI,Drone,Corn,Yes,18.553835760669223,131.31447637974782,4.105818021921697,2.042511925072328
31,Nutrient,LAI,Weather Station,Cotton,Yes,29.12039420973134,164.82477506079493,4.2322533555643655,2.169594136692289
32,Temperature,NDVI,Soil Sensor,Corn,No,14.294702502431264,176.01157395315863,7.424976166766481,2.17291702204109
33,Temperature,EVI,Soil Sensor,Corn,No,20.333285196877487,171.00721520670913,7.842403240050086,7.130593864634748
34,Nutrient,EVI,Weather Station,Cotton,No,24.72034736730672,52.48091739348149,6.75363734582283,4.354084859462541
35,Temperature,EVI,Soil Sensor,Corn,No,21.13688826269125,78.02118472857477,5.45747317640032,7.5998319513931545
36,Nutrient,NDVI,Weather Station,Corn,No,28.580417714336022,148.23579531767467,7.754401263178909,4.6492432559828085
37,Nutrient,NDVI,Soil Sensor,Cotton,Yes,17.559367112825683,106.36390217059443,6.651212345502943,6.648460491988573
38,Moisture,EVI,Weather Station,Cotton,Yes,19.27351611546356,197.37239765916604,7.377334196797351,7.928722051110041
39,Nutrient,NDVI,Soil Sensor,Soybean,Yes,11.770446304294568,149.8107188957381,7.063409216148037,5.933943195894285
40,Moisture,EVI,Drone,Corn,Yes,22.17998222103857,193.48233630938097,5.51655726309037,5.855532314050055
41,Nutrient,NDVI,Drone,Soybean,Yes,15.764239368962121,80.21697224686908,5.914808803403142,1.79410892757071
42,Nutrient,LAI,Drone,Soybean,No,13.206180790311377,179.59355421725346,4.7445286174723975,4.697035686184913
43,Moisture,LAI,Soil Sensor,Cotton,No,20.89062585809016,98.2028458722838,5.168056401762936,5.9119943790244385
44,Moisture,EVI,Soil Sensor,Corn,Yes,20.646205267598212,198.43472123567102,7.112502645146087,5.15782743099769
45,Nutrient,NDVI,Drone,Corn,Yes,11.51743282448095,73.6533008109721,7.575913567532433,9.107038001695829
46,Temperature,NDVI,Drone,Cotton,Yes,23.964309069889456,127.45097282574899,6.897841693005647,9.158775689075405
47,Moisture,LAI,Weather Station,Soybean,No,22.47544381301706,168.9266800755683,5.860694786626553,8.397256425298856
48,Temperature,LAI,Weather Station,Cotton,No,13.780345654929944,114.89637209060538,4.34603707575899,4.37768267835808
49,Temperature,NDVI,Weather Station,Corn,Yes,19.388697243080877,120.212609028147,4.227791794793793,7.455692365187809
50,Temperature,NDVI,Drone,Cotton,No,24.4064583295712,197.95336932586116,5.497302258451415,4.557596149626488
51,Moisture,NDVI,Drone,Corn,Yes,20.58871481082553,113.796222545173,5.855286875070652,3.0933423907818316
52,Temperature,NDVI,Drone,Soybean,No,17.909781523671406,140.61081508985956,6.436482488853187,4.0861237919579345
53,Moisture,NDVI,Weather Station,Corn,No,16.446769161618874,58.1809491012726,4.025958085547989,1.6386816995698195
54,Temperature,NDVI,Soil Sensor,Soybean,Yes,22.207877332881072,176.331512031539,7.958891561865226,3.9859975810418247
55,Nutrient,EVI,Drone,Soybean,No,28.782173966204812,147.22520734693154,5.455755533616172,5.146679955350544
56,Nutrient,NDVI,Soil Sensor,Corn,No,23.43489680954967,110.60301542942203,7.392378655204485,9.59932805302747
57,Moisture,LAI,Soil Sensor,Corn,Yes,11.49491807272631,52.42543099317796,6.1398668226616175,3.8206952759766244
58,Nutrient,EVI,Soil Sensor,Soybean,No,19.213699469642677,138.75032308902558,4.521757818133386,9.122081852849686
59,Nutrient,NDVI,Weather Station,Cotton,Yes,27.81648263021255,51.898674272624326,7.190262210138087,3.0597244824114735
60,Temperature,LAI,Soil Sensor,Corn,No,11.889248516021738,50.18054208635269,6.839308299679504,2.7187200798332447
61,Moisture,EVI,Drone,Soybean,Yes,29.77751424275087,142.4147843224032,6.1097443397169116,5.670959107889485
62,Temperature,LAI,Weather Station,Soybean,Yes,28.981387872908428,78.35256010018314,6.05821236533512,7.052602323676654
63,Temperature,NDVI,Drone,Cotton,No,11.565489614597517,78.78313245771429,4.349918423003713,1.3989902572205328
64,Temperature,NDVI,Drone,Corn,No,28.668266408991098,147.99073487491154,6.623395794295496,2.9895927854249504
65,Temperature,NDVI,Weather Station,Soybean,Yes,17.262651805189243,58.05457819090614,7.644980623017199,5.101152998511848
66,Temperature,NDVI,Drone,Cotton,No,26.89418334151725,97.01083422118344,4.372979676885434,3.979039023848633
67,Temperature,EVI,Drone,Soybean,No,18.36766675426543,72.41478532130286,5.05404580259562,7.413589714134897
68,Temperature,EVI,Weather Station,Corn,No,18.81710225405032,137.02645546948008,7.609231893768396,5.6004453643718515
69,Moisture,LAI,Drone,Cotton,Yes,22.684861819550854,149.26477320910936,5.137375639279173,2.443231950435102
70,Nutrient,NDVI,Soil Sensor,Soybean,Yes,25.48954838551967,158.17037803985653,6.615774688719705,9.050188413835814
71,Temperature,LAI,Drone,Cotton,Yes,10.675783018964973,88.28468253778482,6.139272659772576,3.636151079350236
72,Temperature,EVI,Soil Sensor,Corn,No,21.863119910542686,63.387462745487596,6.385310420015449,7.580179980679811
73,Temperature,NDVI,Drone,Cotton,No,13.734659881947419,61.80254854128467,5.6631556063090125,8.01924201194869
74,Temperature,NDVI,Weather Station,Corn,Yes,16.918990357264057,113.92273226760857,5.199965882214844,9.668419302304919
75,Temperature,EVI,Weather Station,Soybean,Yes,16.95937332310433,191.87666135940725,4.194133802918676,5.486567198716912
76,Temperature,EVI,Drone,Corn,No,19.381206804423073,82.6593551370537,6.977123757176656,6.54251963917989
77,Nutrient,EVI,Weather Station,Soybean,No,16.682728237523467,88.5112402012324,6.984373848776907,4.013886641315803
