,Soil_Type,Soil_Nutrient_Levels,Organic_Matter_Content,Cover_Cropping,Soil_Erosion_Prevention,Crop_Type,Crop_Rotation_Practice,Soil_Health_Index
0,Clayey,6.897541687224924,4.117460681340479,Yes,Windbreaks,Maize,Yes,8.714778285020987
1,Sandy,9.925683554510549,3.089987235562354,Yes,Contour Plowing,Wheat,Yes,1.540196178294437
2,Clayey,1.6540378444901465,3.5640994305414186,Yes,Contour Plowing,Maize,No,6.9806208968404135
3,Clayey,1.6937021075631462,4.145326621580162,No,Contour Plowing,Wheat,No,8.062591715776412
4,Sandy,4.063420834000074,2.620432218351427,Yes,Contour Plowing,Wheat,Yes,9.83735851915159
5,Sandy,8.797478628262079,1.0108325992818084,No,Contour Plowing,Wheat,No,4.371951695613704
6,Clayey,2.9397688191219866,4.399785983780754,Yes,Windbreaks,Rice,No,2.528934285440331
7,Loamy,4.243400379373128,2.5235614504986503,No,Windbreaks,Maize,No,8.67639755617499
8,Clayey,1.6165486596428162,2.9841709040663322,Yes,Windbreaks,Maize,Yes,3.857200692692998
9,Clayey,7.868397621330004,1.0310665686158749,No,Windbreaks,Maize,Yes,6.38381706214473
10,Clayey,4.6747570848350595,2.968368041400392,Yes,Terracing,Rice,Yes,4.509052877916998
11,Clayey,7.833238597547585,4.945949606286918,Yes,Windbreaks,Wheat,No,4.62093631082795
12,Sandy,9.132470599121156,2.1130706432750785,Yes,Terracing,Maize,Yes,7.592180312597065
13,Clayey,3.094868323911599,2.5816730809695123,No,Windbreaks,Rice,Yes,4.253276128059448
14,Loamy,8.266564273059561,3.7487599858747065,Yes,Contour Plowing,Rice,Yes,7.237676016734382
15,Sandy,1.5318450107042794,4.259174670094635,Yes,Contour Plowing,Maize,No,1.1289560990707188
16,Loamy,9.089626493622227,2.669566496024401,Yes,Contour Plowing,Wheat,Yes,3.921826510034884
17,Loamy,6.856916928028726,2.23867548160517,Yes,Terracing,Rice,Yes,3.871396282182964
18,Loamy,8.868040517245163,4.751303199940269,No,Windbreaks,Maize,No,7.739517573070453
19,Loamy,1.001695596009237,3.708579866686677,Yes,Windbreaks,Wheat,Yes,3.831014044230651
20,Sandy,2.5217296332039325,1.4760852179725643,Yes,Terracing,Rice,No,6.699944191285747
21,Sandy,4.507834486838428,1.2757115125385945,No,Terracing,Rice,No,7.196719618970783
22,Loamy,4.415526130372467,2.934199403161476,No,Terracing,Maize,Yes,6.925829897774037
23,Loamy,3.040573446311596,1.8803602641890897,No,Terracing,Maize,Yes,6.429643129437981
24,Sandy,4.4345074588048,2.015939013505014,Yes,Terracing,Wheat,Yes,4.722551644144552
25,Sandy,2.1596384080022935,4.510768715311393,No,Contour Plowing,Maize,No,4.359744799154294
26,Sandy,4.714850163394234,1.3582640972652427,No,Windbreaks,Maize,Yes,6.081256525383007
27,Clayey,8.221188962433377,3.8614564609155586,No,Terracing,Wheat,Yes,1.5733279223589367
28,Clayey,5.311630567930161,2.0845690135223522,Yes,Contour Plowing,Maize,Yes,8.882378578463735
29,Clayey,1.1620008005069349,4.04131288561655,Yes,Terracing,Wheat,No,8.427836287273088
30,Loamy,4.792996374213226,3.8896455378541783,Yes,Contour Plowing,Wheat,No,4.117462453334706
