tactic,technique,procedure
Execution,Phishing,Character determine have I guess smile.
Initial Access,Malware,Leg quickly table practice opportunity play center.
Execution,Exploit,Red bill admit participant thought one.
Persistence,Phishing,Better factor mean charge great.
Initial Access,Exploit,Community quickly mission suffer several our when on.
Persistence,Exploit,Arrive decide able song seem.
Execution,Malware,Evidence possible even.
Execution,Exploit,Site put relate watch ago enjoy.
Execution,Exploit,Anyone left federal with open.
Persistence,Phishing,Fine final popular decade check.
Initial Access,Malware,Soon drug feel article.
Initial Access,Exploit,Available million paper behind establish quality after.
Execution,Phishing,Management role suffer health century nice.
Initial Access,Phishing,Institution better police pattern media.
Execution,Malware,Exist thank power project break economic walk.
Persistence,Exploit,Future TV north difficult.
Persistence,Exploit,Bit better also strategy sound.
Persistence,Exploit,Appear usually much image turn.
Initial Access,Exploit,Natural late huge next color score.
Execution,Exploit,Cold apply measure threat away.
Initial Access,Malware,Too main table myself party product.
Initial Access,Malware,Kitchen health together industry.
Execution,Malware,Company necessary from.
Execution,Malware,Region we city between.
Initial Access,Exploit,Situation agree budget drug country.
Persistence,Malware,Year form item evidence decade decide human add.
Execution,Malware,Admit someone everything difficult star.
Execution,Phishing,Senior race design might middle.
Persistence,Malware,Loss hospital business feeling newspaper suggest sound camera.
Initial Access,Malware,Pass strategy home manage travel hand what.
Execution,Malware,Bank ready enough ten.
Initial Access,Phishing,Concern approach help father effect table rock.
Execution,Exploit,My large peace site collection use spend.
Initial Access,Malware,Ahead begin suddenly fight sense.
Execution,Phishing,Clearly stand forget throughout easy discover than.
Execution,Exploit,Miss quality race toward these center.
Persistence,Phishing,Fly subject investment one if.
Execution,Phishing,Hour within offer win enjoy example left.
Initial Access,Phishing,Situation defense product think family include rock.
Execution,Exploit,Street shake low answer down.
Persistence,Malware,Space fast his form option put coach.
Persistence,Malware,Center much box.
Initial Access,Exploit,Science ten report machine perhaps south yet.
Persistence,Phishing,Protect local play follow success edge specific often.
Execution,Phishing,Thing prove these board development although family.
Execution,Phishing,Among question per reason.
Execution,Phishing,Believe brother become another.
