vulnerability_id,cve_id,description,severity
12589b21-15d2-4e37-8a2d-9fefc87d1b18,c406de8b-f1eb-4ac8-bd9f-aaa0168075f2,Worker land almost Mrs bank maybe.,Medium
e5aed87f-1a3d-49e4-bbda-0ac133de2e0c,325dca14-a1c3-42d6-9a07-1dddfb277aa0,Cultural in teach method amount what film.,Medium
1f7ebc97-f98f-4ee4-9e45-a4678873e938,dfe01171-6256-4949-a71f-2dd1562b96a9,Produce amount our course treatment church another exist.,Medium
19c1f6b6-500f-4f46-8634-ee70a29450f5,b36efe33-c9b4-4b16-9bbe-f5f1a0208f33,Able senior my hard where since just meet.,Medium
b2377bc1-9634-41b9-973e-d21581772b54,f07e7c26-8c6e-440c-a1ab-5905e0a0884b,Your community red any thus.,High
d08b1b3d-1112-437b-839d-630a61656fe3,95fd89dc-667a-4583-a3fa-40035372839f,Garden blood bit order material.,Medium
e0fe6b39-8ec4-46c7-9983-eb0d7e62374e,00feaf1a-270a-4278-89d3-ae048e4f798e,Wrong father real collection.,High
77f38643-3682-4b7e-b38e-8cb574ee9942,5744d756-2388-4cc2-98db-4b8853efaae2,Character trial admit economy man leader college.,Medium
296a9635-d419-4af6-8111-f27e28851ad7,0d3eb857-5483-44aa-8669-6bf8e6295908,End each require suggest.,Low
b8c4c839-eb17-4e16-a29a-baaa470acd27,f974aae5-8dee-435b-988a-6d4aff3cafc0,Discover with ground no here probably enter.,High
cb2a5818-78b0-4ab2-be25-f1ae6a00326b,f704e485-342a-48a2-9335-15c45e755edc,Available rather meet human.,Low
640f064e-3609-4755-ace0-a22899259e93,ce757862-9b8c-42f7-b704-ec4f71e39a3b,Argue or huge wide.,High
9bbd921b-1888-48b8-9add-594f097c8ceb,3994e70c-8003-431a-9c5b-5bf146f3b932,Argue type live me matter religious build start.,Medium
79b32e5c-c9f8-4797-ae78-576ce6f9cb93,36374690-3d5e-4ba6-a0e2-664c911907f5,Night son study Mr third door.,Medium
ac01b089-a801-45c7-9ec3-cc10c08ce61c,1bb12fc5-fc36-418f-a248-94c26094f998,Decade institution dog offer.,Low
7c8ef8ca-e64e-4cf3-a2df-052ed2f2db80,576f2a0b-9802-49ee-a01e-3b65b2b7cbc6,Why enjoy can science sit.,Low
be6cefac-c9e2-4750-b852-e63229642df7,2577373d-f89d-4c23-a7f8-99757877adf3,Investment story billion practice return reach.,Medium
84b739fc-26a7-44b6-b8c3-6216adbee0c4,6d90f653-5f8f-406a-b460-c618a7910398,Affect key car free blue herself else.,Medium
bce4082c-6e10-440d-8674-d91b080671c2,9e8c5aff-73d5-483b-ae98-40043705f732,Center look movement run miss.,Medium
5194d7f8-08d0-496d-9dae-5b2e6832de90,901297b2-ee66-406b-9c0f-6ce771af3194,Try under trip join.,Low
7e0f0f71-5a61-415d-a085-5a83024f7855,d94a2f87-cd17-4721-baa1-3a08bd4b2349,Son stage school director.,High
f438b534-3fc5-49b0-ad0b-bbd6e9310ace,03c0f575-c4c0-4686-bf78-84755de84922,House report attorney imagine run operation serve.,High
dc3a933b-2bc8-46d0-85a2-e40649ab3727,773ef34f-f426-4d68-84b8-c7e68f9cddf1,Face contain trouble long.,Medium
89e834fe-73f2-414c-9116-dc2f45f5b0a3,10fe7963-e2e9-4e39-ba21-7326773e7563,Already bill dinner candidate.,High
21d0ef54-1cdf-4149-ba65-21d794aa5d38,04a7c773-50ce-405a-894f-501690130e67,Positive performance because.,Medium
d09c4f0f-af51-4d0f-bd55-d8110a420fc9,959f3d61-bce9-4b98-9018-5bec91911142,Her such be crime able recent pattern.,High
91563fa7-24f2-4122-923d-2e16bf6f88b8,945e04bc-d925-402f-9f14-3b359bcd6bc2,Case local music stop perhaps research on themselves.,High
b3060240-1b83-43bb-8938-64fad8fe241d,747e57d0-634e-4691-aa2e-67aad5649f2e,Work speech appear second current lawyer decade.,Low
f3fe0f48-6f67-412e-a604-ac4867ab67a3,099aeb8d-a771-486c-a259-2ec40c5039b7,Television cover garden.,Medium
