Prior_Knowledge,Learning_Style,Motivation,Quality_of_Teaching,Curriculum_Quality,Class_Size,Parental_Involvement,Family_SES,Cultural_Background,Physical_Health,Mental_Health,Nutrition,Peer_Influence,Collaboration,Technology_Access,Extracurricular_Activities,Study_Skills,Attendance,CGPA
68.72700594,Auditory,9.337443461,3.338453241,7.98289529,35.96935109,3.269821619,1.12671697,Rural,9.906083274,9.205639374,8.003130952,8.17277301,5.157827431,Low,Academic,6.266100926,6.756743884,23.42517683
97.53571532,Auditory,1.17204485,8.974774979,8.271615953,17.24049112,9.6032692,1.062618286,Rural,2.419198049,3.289060788,9.045805527,6.483676954,9.107038002,Medium,Arts,7.526803569,8.82717923,29.98448795
86.59969709,Visual,5.291591215,9.061209498,7.909881559,12.35608728,9.309695574,3.161139584,Rural,5.64705837,7.952737808,7.520143809,2.042674993,9.158775689,Low,Sports,6.718596017,7.050462886,23.82944699
79.93292421,Visual,7.189498382,3.675584839,2.025692984,20.69214208,5.115849489,1.907264774,Urban,8.135600805,3.389259025,5.18656327,3.623326053,8.397256425,Low,Sports,7.427105216,4.264604364,21.98556418
57.80093202,Auditory,7.504362619,3.069943786,6.795171614,32.42955474,8.615744795,3.341902311,Rural,4.893782325,2.878682801,1.77858342,9.719581664,4.377682678,High,Academic,4.862372541,9.624784264,20.61570394
57.79972602,Visual,7.232791884,4.701735749,8.508923162,26.52071634,5.070911299,2.593389651,Urban,5.212756542,9.498395437,1.512531538,3.874798888,7.455692365,Low,Arts,7.548645615,9.041686791,22.23186375
52.90418061,Visual,2.209916165,3.164784267,6.196180611,34.50380109,4.819501163,1.256680224,Urban,9.87720216,1.17373975,4.368930082,1.839293828,4.55759615,High,Sports,2.293671304,4.905594282,15.9024701
93.30880729,Auditory,3.694560295,7.05145459,6.817666377,38.78776443,2.410866528,9.183737318,Suburban,4.827773353,9.688498333,5.174395469,7.367980203,3.093342391,Low,Academic,2.463276806,6.159956434,28.74440398
80.05575059,Visual,4.228439729,8.434582161,5.125271315,33.7798743,4.837654508,1.074008183,Rural,6.436648905,2.343357073,6.4820856,7.606038291,4.086123792,Low,Sports,2.465489312,9.70767269,23.7327286
85.40362889,Kinesthetic,8.239934869,7.057829178,5.758365879,28.11409237,5.836752447,7.624739299,Urban,1.490856946,8.374942736,1.058405692,3.569119483,1.6386817,Low,Arts,9.017784613,9.843043257,23.45565908
51.02922471,Kinesthetic,3.508838852,8.419154025,1.309391725,24.80024764,1.202538947,2.369330982,Rural,8.579890722,3.483302978,9.907506014,3.679047814,3.985997581,Medium,Academic,1.68430657,5.048409481,17.44676626
98.49549261,Kinesthetic,2.896344675,4.57292946,6.750667198,11.20207259,4.997017047,9.210066598,Suburban,6.833512441,4.156320947,4.275449951,5.22003687,5.146679955,Medium,Sports,8.213575355,8.626150253,26.21718188
91.62213204,Kinesthetic,9.617032171,2.406852736,1.733024916,39.52965936,8.032205966,9.035163456,Suburban,4.636180926,2.950819402,8.632851974,1.196100548,9.599328053,High,Academic,3.102138082,3.717822043,26.73859441
60.61695553,Auditory,1.079769566,7.641558527,4.915131349,21.50443368,7.120414507,6.885110317,Urban,1.14552586,6.269626382,5.814700351,8.103907093,3.820695276,Low,Academic,5.215869464,4.346315856,17.18433936
