campaign_id,campaign_name,campaign_type,motivation
9dc2b4d4-7804-4a9d-a343-de235591a147,"Young, Williams and Thompson",Hacktivism,Always least science feeling film respond nature. Step crime smile attorney country election focus.
dce09afc-f530-4bd0-a6bb-fe7adcfd895e,Cunningham-Graham,Cybercrime,West national boy discuss question understand.
5b1ec75a-c027-4cb2-94e5-d7abdfbb9fd5,Campos Ltd,Hacktivism,Night about writer can right evidence evening fund.
7489b716-147c-4ac7-9f4b-6c8d5bfb8565,"Howard, Randolph and Brown",Hacktivism,Federal outside prove seem magazine put hear. Remain we exactly skill once center. Million organization federal themselves.
26e6aa9b-7943-4327-99ed-91a42e5ba643,"Franco, Rivera and Baker",Nation-State,Degree information long anything put whether hotel happy. Why performance join type defense have people. Building agreement leader.
3cc25374-28b9-4061-a329-6f64235f34d2,Humphrey-Henson,Hacktivism,Into this land traditional. Particularly beat car you enough sort. Success consider popular third.
170864d4-dd26-45cc-b614-17c8ec726126,Berg-Bowen,Cybercrime,Bar describe draw.
c132554f-6560-4810-b4cb-81f15efa6338,Velasquez and Sons,Hacktivism,Career election environmental today yet line name. Environmental specific keep drug plant itself seat I.
949c74e3-562e-4aa6-8246-9e114b9fc253,Turner-Kelley,Nation-State,Sound project either throughout. Next support child interview former few.
76a342d0-9553-464f-8bb7-59566274adc6,Wilkins-Hill,Hacktivism,Consider ok trade pressure each section science. Against popular reveal increase professional public quality.
4b3d38bf-57d2-4f9b-9fe1-4ed62aba655a,Blair-Peterson,Hacktivism,Probably draw sing social. Near move middle rather window.
ba79df17-1cbc-4724-b264-9aaa534b24fe,Hall-Brooks,Hacktivism,Its fund military hand democratic everybody. Project surface project statement manager want.
6ae16854-b92a-478b-a912-0ae51dc958b3,"Chavez, Lewis and Ballard",Nation-State,Gas hundred affect state edge argue. Skill somebody every kid plan last next add.
e7f332c6-12ae-4744-b97b-c81d9ba38fbe,"Goodman, Sparks and Moore",Cybercrime,Claim trouble wait believe glass position. Walk month local where tell vote.
e5ce0210-4f55-415a-944f-4f0254e7aeba,Orozco PLC,Cybercrime,Hair while every capital. Someone moment party where sometimes conference high. Myself local question song me true ground.
fd870737-c6de-4f13-9237-13b4304f21af,Flores LLC,Cybercrime,Clear thousand next collection probably small. Special begin late keep manage.
7ce07dce-c7e2-4022-8b3e-83b3ceda98c4,Ellis PLC,Nation-State,Civil quality participant ability year campaign blood member. President bill work something north or. Point despite audience those whole.
cbdd9e98-323e-4d9c-a359-3472a5334b20,Johnson-Johnson,Hacktivism,Walk serious each away but.
f13e80fa-bbe2-4121-b3de-b5c000e803fb,Miller-Robinson,Nation-State,Individual show similar work here imagine smile. Want picture doctor agency full guess.
57a4bddb-e23a-4085-94ed-ee4bfc472937,"Smith, Hunter and Gordon",Nation-State,Thank bank only run hope executive born yes. Floor teach certain his throughout manage baby.
22b1917d-1bff-4179-bdc2-6cdfd3cf9582,Williams-Williams,Hacktivism,What decide respond. Education add choice affect indeed history language very. Those American develop speak.
c92529c0-b05d-4826-859d-887b7d534fc7,Gibson LLC,Nation-State,Ahead thing close meeting former. Conference center interesting over.
01ac16de-d317-4bd8-8de6-db4f40cb47fe,Davis Group,Cybercrime,Admit herself traditional south full but eat. Toward save visit in will arm.
0eed6a69-b0f7-4dca-9e22-2cb8302b6f26,King PLC,Hacktivism,Agency happen couple here we hard. Would exist interview about shoulder wrong feeling east. Stop day peace particularly.
0039287a-67ab-470d-bcc4-473657d9a544,Burke-Johnson,Hacktivism,Degree speech rock brother end.
2292862f-c978-479f-997f-72b4ee933d15,Barajas LLC,Hacktivism,Wall international situation them mean prevent. Them war choice table born. Growth eight hit boy sing car. Choice nation model.
073e7ae8-0a30-484e-a4c4-a7435ccccd1a,"Moore, Wallace and Ballard",Hacktivism,Live situation will bank bar American apply. How since hospital age machine store sea. Speech area school official garden mouth hear program.
2beccc3c-ad2f-48d6-8a75-18033d9bb0be,Rodriguez-Rodriguez,Hacktivism,Grow fast true technology ground article. Before bad last house yet. Bank challenge history drug so money.
12ac93cd-1bea-46d3-9b95-548d6aa66fd8,Espinoza-Webb,Hacktivism,Vote identify resource wonder. Ago nice court market. Prepare western hold.
27d4d082-7f8e-417f-a093-7f1d5be49fdd,Hamilton-Williams,Nation-State,Center indeed nearly because. Despite number dog sea skin.
08d24054-7eaa-4079-89fa-977631a2bd95,Doyle Ltd,Cybercrime,Individual will customer nor return. Many my pressure run rest find. Successful real apply south interesting on herself.
30231e8d-442a-44d9-886a-55796c4ed306,Landry-Armstrong,Nation-State,That maybe cell stop. Agreement less interview campaign fund financial.
4fa1db9c-723a-45e3-8636-37dce7690f85,Kirk-Fox,Hacktivism,Nearly offer cost. Even sure garden community. Growth company possible way which worker.
750891f2-2663-49d6-9a77-218a27fb15c2,Morrison Ltd,Cybercrime,On clearly listen economy green evidence education. Process town quickly. Way large myself.
ab9f85df-cf30-4459-bedf-0f00c5a5e9a9,Stokes-Owens,Cybercrime,Daughter building red fire campaign accept. Better yet building thus inside so carry. Sometimes school record would wife camera choose whole.
89f13bb7-8625-413e-a8d5-52f7c0677be2,Hernandez and Sons,Hacktivism,Sure ability newspaper ok glass clear model such. Test property beat see its kid everything when.
85639997-10c2-4e46-87dd-8a6564e4117c,Miller Ltd,Hacktivism,Affect able end investment government behavior. Team house able can. Record deep short.
56dee785-8c39-47d7-92f5-4b45030ce82f,Mercado-Barrera,Cybercrime,Rule always best of into miss whether religious. Large something back report mother high. Until affect reveal information.
81f52e63-4f15-4171-9bbf-79a635aad764,"Castro, Hansen and Martinez",Hacktivism,Allow behavior build child we security officer score. Similar your race firm dream tough. Local whole series seek describe star. Across director ask.
c18b90f5-ce1d-46ac-ae0c-882ce7f15ab9,Murphy-Carter,Cybercrime,Read note body individual. Region beat political task seat. Approach appear old middle.
a6290947-54bb-4ebd-83ea-22613b5f8ce0,Leblanc Group,Cybercrime,Feel life forget low rock certainly. Worry similar throw PM rock say.
6a7cf99b-dd31-4a5c-94a9-901b49bc86fe,Avery PLC,Nation-State,Author education red admit least out design. Trade American outside history off door. Example son friend true next toward.
add5cf16-bdc8-4d2c-a3ad-a9870f265606,Perkins LLC,Hacktivism,Decide fight box detail term interesting necessary. Decade need structure various everyone single.
2888385c-4684-45bc-8eee-c7e623eb39ed,Franklin-Franklin,Hacktivism,Company business if commercial I part. Recent challenge sit upon away.
e2c963b7-b21c-40cb-8a04-1a0574b15458,"Ray, Tanner and Moore",Hacktivism,Agency ahead accept hair himself human feel. List military ground concern develop carry area. Huge behavior environmental would career.
7df5283a-e84d-42d4-af9e-b855b72efd5b,Barnes and Sons,Nation-State,Enjoy walk wife station already interest believe. Contain edge wrong us most. Some economic trouble clear throw difficult assume discuss.
2c0f8bb5-ddc0-4854-af7e-321ec6312d82,Wilkinson and Sons,Hacktivism,Course eye black part language.
615c01ba-594c-4228-b337-e2f49d0e635f,Hunt PLC,Nation-State,Produce decade drive Congress almost risk. State two apply.
b8ab9156-b5ea-4f70-ad5e-4a9affbef70d,Fitzpatrick Group,Cybercrime,Us how seem also offer hit condition. Several red step down.
e8e1d56c-61b9-4074-82e4-0b1b84d995bd,"Porter, Mccann and Juarez",Cybercrime,According hard decide machine. Later bill mission increase fire. Their letter along media respond officer.
c68df472-49f0-4f52-b413-4b1c668fe219,Shepherd and Sons,Cybercrime,Bill establish continue community century fear federal. Know college amount sometimes. Before show clear tell second.
cf5a7966-6f5d-4025-88f8-3230fc839761,"Bailey, Fisher and Guzman",Hacktivism,Physical its mission if. New create meet response.
2d952ba5-9bcf-46fc-a2e5-d39725e9d418,Jones-Ashley,Nation-State,Notice organization specific direction responsibility step popular. Anyone speech try often. Difficult there since energy.
1fe0b352-b49a-4588-b7da-dad34e2577c1,Lopez-Wells,Hacktivism,Understand though own consider blue ground stand. Win some reason art half various north everyone.
f6237fa0-4419-4b29-acb4-f56a6857f6ab,Adams and Sons,Nation-State,Various instead staff us manage. Property difference alone do strong own.
3421281c-96d4-4e54-a1e4-af6d10b04d3e,"Ali, Reynolds and Powell",Hacktivism,Adult wish minute visit authority owner industry. Future paper coach shake month sit.
860e5643-a802-4fff-8e55-6427837efe09,Davis-Johnson,Hacktivism,Window behind political add offer. Budget field Democrat pick relationship tough discussion spring. Cut rule rock must.
710e7bed-0664-4c5d-8cd6-3db1a30c801f,Ryan PLC,Hacktivism,Food issue respond eye. There national family close. Coach own ago seek.
e9cc001e-8121-412c-8193-395ee85cc435,Powers-Carpenter,Hacktivism,Another value film similar better. Suggest election financial recent bank American. Night my defense tell after.
256057bd-d53f-4fae-a593-ee9d5ab6d5b0,"Dougherty, Miller and Smith",Nation-State,Program memory son all mouth ahead low. No deal item people management. Must site adult bed series interest.
cba89dce-c216-4d56-afab-d9d29cbcef34,"Gallagher, Yang and Hamilton",Nation-State,After pay many explain. Project nearly analysis cover age hair. Every save security.
11b5c0ee-5200-47ac-a5c3-7ffca41ad36e,Anderson Group,Nation-State,Sit ask partner staff beautiful. Pass recognize office leader.
e0e58e9c-e6df-4ba9-99f8-e245c8eb2cdf,"King, Carr and Rodgers",Hacktivism,Son factor fire statement agent. Although necessary participant whatever to.
ccaab566-cfca-40b7-9285-cabe34b71ca6,Kelly and Sons,Hacktivism,Example long against rest early threat. The stage amount general sell room. Help message especially court out.
91673b59-aa18-4525-b789-207e443e6444,"Castillo, Lee and Ward",Nation-State,Same though perform manage nothing quite. Action gun career for sing sound. Line group new memory piece move lawyer responsibility. List purpose attack.
6fc0da13-965f-4851-b73f-322ee2a08936,Griffith-Clark,Nation-State,Product nation spend cultural site. Western hit reach score. Perhaps budget age than just end.
6c682309-7571-49c3-b0bc-92db50542409,Dennis LLC,Nation-State,Learn citizen minute believe. Story almost state. Perhaps if difficult test recent especially drive.
dc7c3363-6ab0-4563-843f-77b6da8d2084,"Gomez, Clark and Manning",Nation-State,Sound painting wife nice guess list station. Reality chance up unit benefit work.
7f18741e-5665-415f-a2ca-2e90eb41f7bb,Mathews LLC,Cybercrime,Since rest commercial action. Charge everybody pick material total outside or. Model worry huge.
11312516-5336-458a-9aa7-277a4cae28cb,Thomas-Green,Hacktivism,Movement find our discover tax stand never. Red artist front toward economic although opportunity site. Note leave or door top bed.
96cfbcdd-1482-49d1-88ba-6e6b0e0aa46d,Rogers-Wilson,Hacktivism,Condition safe easy care social religious. Crime mission appear chair what serious fact.
18252dd3-f67e-4f3d-b0da-33ac75bb7a46,Delacruz-Copeland,Nation-State,Service owner give environment. Candidate field under.
f819a22d-3149-42c9-bbd8-7fd6043ad5cf,Gray-Brown,Cybercrime,True decision nice local green. Use a artist imagine partner water. Wait research Mrs.
1652c7ba-c4c0-47e7-be09-d61fb302bb33,Davis-Preston,Hacktivism,Water laugh form into. Particularly wear better drive. Human carry act world price as.
d289ad75-9c1a-4e94-80c1-144b0b6f7100,Smith-Carpenter,Cybercrime,Off sort particularly here business. Information choose son detail upon. Poor perhaps end must.
9c771bfb-9557-4331-9943-4b2390dcb96b,"Smith, Vang and Johnston",Cybercrime,During field research over. Nature draw carry because operation their always. Together thus him student idea.
356b47ae-e6d7-44e7-8cd5-bfbc1464aeed,"Garcia, Anderson and Nelson",Nation-State,Foreign especially team figure. Audience scene read commercial relationship thought. Understand decision chance market although bag.
2c0a9795-e3c4-40b6-a566-9cf6e89bd9be,Casey-Payne,Cybercrime,Public be table prove trade will them. Set remember site what act sit do.
9bfddcea-6ca0-4784-8cac-0bd151c58545,"Taylor, Garcia and Thomas",Cybercrime,And raise situation modern. Morning receive risk attack top. Couple one force defense run else minute.
d9853afd-8bfa-4af1-81a5-aedd85086773,Hall PLC,Hacktivism,Major rise resource half statement federal. Smile agreement remain rate project seem.
a9dcd22e-a6a7-4ffe-8817-07188969cbda,Larsen-Jones,Nation-State,Truth health generation simply appear maintain. Performance defense year audience beautiful system student. Well throw popular.
0fa4604d-8d98-42cf-a38b-21be5b15050a,Johnson-Perry,Nation-State,Try describe present once let study most. Here fund kid apply this. Culture focus risk natural. Guy security talk not benefit guy.
26b45909-3dd1-44ed-9177-7893589b5120,Thomas Ltd,Hacktivism,Go loss number prove even. Music story strategy anyone room stay investment nor.
