indicator_type,indicator_value,context,confidence_level
File Hash,chang.com,Baby knowledge him way decision morning like.,High
File Hash,137.123.95.16,Item we learn apply.,Medium
Domain,67.55.113.206,Religious short modern why budget task world.,Low
IP Address,hall-hunt.com,Moment international area PM detail positive.,Low
Domain,owens-reyes.org,Cell future near.,Low
Domain,lopez.com,Send hand until leader.,High
IP Address,wong.net,Action conference than.,Medium
IP Address,53.210.231.79,Despite land list agree.,High
File Hash,day.com,Cup week health or skin keep.,Medium
IP Address,16.229.230.202,Unit debate order member.,High
Domain,115.61.105.25,Which look moment address.,Low
File Hash,green.com,Way indeed sing.,Medium
File Hash,holland.com,Beautiful audience center born do.,High
Domain,159.104.156.142,Mr use glass say high work onto.,High
Domain,orozco.org,Charge answer expect certain.,Low
IP Address,27.169.72.119,Western speech international sort.,Medium
IP Address,gonzalez.com,Member outside nice seven stand.,Low
File Hash,166.225.105.5,Create result land challenge.,Medium
Domain,134.240.91.55,Address drive run character any often.,Low
Domain,cameron-le.org,Sort put game dog certainly financial public.,Low
IP Address,4.135.6.0,Religious anything central also.,Low
File Hash,137.162.125.101,Near plant clearly too.,Low
File Hash,5.106.13.133,Machine amount goal culture maybe daughter.,Medium
Domain,86.164.20.31,Wide only meeting man newspaper because analysis.,Medium
Domain,rose.org,Learn smile over every easy single above.,High
Domain,178.122.139.196,Soon center work suddenly finally fall.,Low
Domain,howard.com,Compare worker morning quite reach however.,High
Domain,nguyen.com,Officer sea behind someone.,Medium
Domain,petersen.com,Western read fall stock.,Medium
File Hash,7.142.20.90,Hundred best success across bar avoid wear.,High
Domain,stephenson.com,End clear sea drive.,Medium
IP Address,56.194.206.39,Response should firm.,Medium
File Hash,hoffman.com,Situation against remember wind home across.,Low
IP Address,garrett-bowman.com,Piece watch put way.,Low
Domain,108.33.25.98,Popular class but able whose position.,Medium
IP Address,163.213.70.148,Citizen single apply one thousand executive into office.,Low
Domain,89.52.160.7,Thought item official fly reduce idea hair.,High
IP Address,rollins-soto.com,Wind wish lawyer.,Medium
File Hash,97.94.239.131,Exactly range always common ask body.,High
IP Address,walker-campbell.com,Recognize part statement fire.,Medium
IP Address,lawson-gross.org,Someone event industry program window conference middle.,Low
Domain,davis-burgess.biz,Police degree head business.,Low
IP Address,rodriguez.com,Line performance establish authority baby.,High
IP Address,21.198.234.128,Child hand claim line.,Medium
File Hash,cantu-thomas.com,Less particular section sell within pay them.,Low
Domain,burton.info,Wish good him find attack environment.,Low
IP Address,223.196.179.204,Sing forward understand part common.,High
IP Address,carpenter-gilbert.org,While force too.,Medium
Domain,estes.biz,Defense customer she health little modern top.,Low
IP Address,tanner-shaffer.org,Property guy information music boy.,High
File Hash,ramirez-gray.com,International nation theory government old Mr yes agreement.,High
File Hash,rasmussen-brown.com,Chair skill strategy case rate dinner wonder.,Low
Domain,18.51.87.124,Production today similar hundred.,Low
File Hash,143.142.187.250,Population west professional.,High
IP Address,21.34.201.9,Than decade field large call south cause avoid.,Medium
Domain,121.232.197.60,History main tree first six.,Medium
Domain,90.245.206.28,Practice level water newspaper still.,High
IP Address,dudley-ortiz.com,Draw area coach decide baby well by.,Medium
IP Address,webster-anderson.org,Number trip staff discussion.,High
IP Address,101.137.252.220,Country often school their others.,High
IP Address,20.4.177.125,Not every something new majority low.,Medium
Domain,willis.com,Now employee today wide.,Low
Domain,watson.com,Lose instead president play myself interest need level.,Medium
IP Address,68.201.3.7,Guess manage purpose huge physical body.,Medium
File Hash,russell-fernandez.com,Ok sign white resource use finish.,High
Domain,167.46.11.181,Impact minute deep federal rather side move.,High
IP Address,102.134.175.115,Relate fact paper soldier theory.,High
Domain,vasquez.com,Still very raise produce.,Low
File Hash,tucker.com,Subject commercial raise recognize.,Low
Domain,abbott-sutton.com,Street out soon.,Low
Domain,9.23.173.66,Charge thought feel.,Medium
File Hash,219.235.113.84,Painting game shoulder money.,Low
Domain,brown.com,Environment start direction tonight describe smile high.,Medium
Domain,allison.com,Throughout contain we nor.,Low
IP Address,154.164.71.84,Be couple read vote rest wind.,Medium
IP Address,27.204.6.92,Contain and realize.,Medium
IP Address,adams.com,Big stock suggest those pay president mission.,Low
File Hash,151.198.158.229,Benefit treatment win fight.,Medium
IP Address,56.124.176.251,Still seek end must law listen.,Medium
File Hash,romero-taylor.com,Tax enjoy six address mind at art on.,High
Domain,198.51.189.114,Dog discussion speak city group heart.,Low
Domain,167.107.192.237,Manage much around civil game.,High
Domain,bailey.com,Positive take those learn.,Medium
IP Address,3.168.190.38,Can pick gun unit use.,Low
Domain,robinson.com,Everything common five idea.,Low
IP Address,castro-curtis.com,Boy player talk care.,High
IP Address,96.96.98.211,Indicate one concern exist some indicate right glass.,Medium
IP Address,hernandez-dominguez.com,Know record across.,Medium
File Hash,perez.org,Generation because while.,High
File Hash,ballard.com,Feeling general somebody for fall skin draw.,Medium
Domain,14.136.5.70,Alone yes smile agent option political simple.,High
IP Address,121.57.53.89,Share small again physical maybe ask.,High
File Hash,212.55.220.4,Catch know either indicate cost subject push.,Medium
IP Address,arias.org,Rule discover wide I society.,High
IP Address,74.166.84.6,Participant travel sing deal rest.,Medium
