device_id,device_type,location,firmware_version,ip_address,status,model,operating_system,battery_level,last_check_in
149c2fef-ccb4-4cd4-8526-ad25e74351c3,Gateway,Room A,32,134.167.166.8,Inactive,Model C,Windows IoT,85,11/16/2023 23:33
90f07fbf-21a6-443a-8d28-dc3748a62ea5,Sensor,Room B,32,202.250.122.223,Active,Model A,Windows IoT,52,1/7/2023 1:23
9d3be2fb-f303-40cb-9dcc-30bf734e9bbd,Gateway,Outdoor,25,48.171.130.39,Active,Model C,Linux,2,9/8/2023 3:30
4d1674ba-b64e-4b8a-8264-d238a590af31,Gateway,Outdoor,92,35.90.158.191,Inactive,Model C,RTOS,89,9/28/2023 22:09
1e0ce297-dc19-494b-803d-9a1ba6e8f50c,Actuator,Room A,40,32.236.58.236,Active,Model C,Windows IoT,99,2/20/2023 13:41
1137a9ce-a8d6-46d4-8f45-aca9ce11523f,Gateway,Outdoor,27,101.89.231.6,Active,Model C,RTOS,20,9/3/2023 3:22
e763b95a-2c4f-457b-b85d-062799450e75,Actuator,Room B,21,22.151.38.177,Inactive,Model C,Windows IoT,100,1/20/2023 8:29
e106d456-bcd1-4963-aa8a-1cd0c6e14547,Sensor,Room A,77,73.38.225.55,Active,Model B,RTOS,97,4/25/2023 21:51
23ef4207-fb45-417c-a364-5e80737327a0,Gateway,Room B,63,173.219.11.13,Inactive,Model C,Linux,63,8/22/2023 13:10
10a23826-f60c-408d-97a8-5bc698414487,Actuator,Room B,95,88.113.18.97,Active,Model B,Windows IoT,9,10/4/2023 20:32
57c23280-5c11-400f-963d-7cda2e98af37,Sensor,Room B,91,4.8.193.48,Active,Model B,Linux,81,11/15/2023 14:16
b37d69e4-1176-42b9-b7b3-ad19e31fc4a9,Sensor,Room B,49,10.131.223.60,Active,Model C,Windows IoT,28,3/29/2023 3:24
6678daf8-f36f-4d71-9bb6-8b61843bb978,Actuator,Room A,16,75.197.101.119,Inactive,Model C,Linux,87,10/2/2023 20:26
39dc532c-283c-4366-a661-ce32d5ed7c2a,Sensor,Room B,76,62.68.15.38,Inactive,Model C,Windows IoT,80,4/27/2023 3:09
726e9972-fc1d-437e-baea-79735f5d4bc7,Actuator,Room B,57,85.103.242.229,Active,Model C,Windows IoT,16,9/4/2023 0:02
ce335613-3864-4f43-95fe-8a24be2ba95a,Sensor,Room A,15,112.146.183.190,Inactive,Model B,Windows IoT,54,6/13/2023 19:58
36553042-e63b-44d3-a254-ef5f968669ac,Sensor,Room A,65,15.72.70.17,Active,Model C,Linux,96,10/13/2023 2:05
c10e8017-1cc1-45e4-bac4-fc20a694cc94,Actuator,Outdoor,13,11.118.127.173,Active,Model A,Windows IoT,15,7/29/2023 7:17
4b51d18d-8bfe-4e11-ab64-3bad20eacce7,Actuator,Room A,93,47.132.142.142,Inactive,Model C,RTOS,13,11/14/2023 20:04
e049eda9-d681-4b14-afcd-33f6e5337b8b,Gateway,Room A,25,186.235.53.104,Inactive,Model A,Windows IoT,97,5/24/2023 7:37
8553f29f-956f-4c4e-a750-a72c1b6eb681,Actuator,Room B,69,143.125.250.181,Inactive,Model C,Windows IoT,59,7/3/2023 1:03
7d45969e-fe99-470b-b7a1-3cf98e70b77e,Actuator,Room B,83,192.139.94.146,Active,Model A,RTOS,35,8/17/2023 12:50
b334f729-4f24-4dba-9fdf-bc62961c40b5,Gateway,Room A,39,28.231.27.68,Inactive,Model B,RTOS,30,2/3/2023 4:27
c72619a7-6693-4ed6-a85a-96863d1e6d76,Sensor,Room B,40,166.183.176.128,Active,Model C,Windows IoT,51,7/9/2023 7:21
c0f93796-4593-4e21-b8ca-ce5b55c80303,Actuator,Room A,96,220.128.14.96,Inactive,Model A,RTOS,38,2/26/2023 19:20
9f858c83-093a-4248-bf2d-05e77f8a39c9,Sensor,Outdoor,41,47.0.190.216,Active,Model C,RTOS,84,2/2/2023 4:46
376d1dcb-93b7-4a66-a1b1-ad2bc734159b,Gateway,Room A,82,217.82.139.1,Active,Model B,Linux,85,2/4/2023 18:01
9fd5d906-26da-4679-a388-17fdbd7316eb,Gateway,Room A,70,5.16.90.35,Active,Model C,Windows IoT,55,10/4/2023 14:38
0426b3da-5b5f-452b-aa90-a61b9e2bc617,Gateway,Room B,13,158.11.242.166,Inactive,Model B,Windows IoT,93,3/31/2023 9:07
2986b200-6039-4e41-8a7d-94416f81c42c,Sensor,Room B,59,80.134.197.170,Inactive,Model A,RTOS,4,5/2/2023 12:59
2b4b85fa-3194-4dc5-bd35-64bb398d6501,Gateway,Room A,93,210.155.252.65,Inactive,Model B,Linux,62,8/31/2023 12:33
1d54031e-6f8b-4f9a-b158-e17bccb70d87,Actuator,Outdoor,21,208.18.230.27,Inactive,Model B,RTOS,42,11/20/2023 1:52
c86832ec-e1bf-46af-b92c-ac9987fc66a8,Actuator,Outdoor,59,2.96.52.70,Inactive,Model C,Linux,68,4/26/2023 23:25
ffe3e124-a68e-46e8-beef-cb72ed92f968,Sensor,Room B,66,191.84.129.198,Inactive,Model B,Linux,30,2/3/2023 7:37
b5c35e4a-03b4-4dff-9998-90097552c198,Actuator,Room A,21,197.133.63.40,Inactive,Model A,Linux,67,1/18/2023 12:49
8707c4ce-549a-4d05-835d-02e9fcb0f95a,Gateway,Outdoor,33,106.51.122.69,Active,Model B,Windows IoT,62,8/12/2023 12:33
e50a51d0-68bd-4158-87ce-e1d496c7f79c,Actuator,Room B,11,130.143.216.103,Active,Model C,Windows IoT,21,4/19/2023 13:00
a40be729-0eb1-41af-95e6-6f18da483770,Sensor,Outdoor,12,217.195.47.195,Active,Model C,Linux,11,5/10/2023 22:30
488ebedc-8f6e-4d7a-93cb-461fb62df7b3,Gateway,Room B,35,111.212.40.68,Inactive,Model C,Windows IoT,1,2/1/2023 0:49
6b139a58-0a31-4646-a65b-be7643a92064,Sensor,Outdoor,19,18.227.150.113,Inactive,Model A,Windows IoT,96,10/12/2023 3:40
fbe9a903-fb07-4a7f-a368-991573332451,Actuator,Room A,99,57.28.123.4,Inactive,Model C,RTOS,41,1/19/2023 0:39
a23559e9-2f1d-4cb3-9169-f9bf90f826f6,Actuator,Room A,50,181.48.7.2,Active,Model A,Linux,9,8/13/2023 8:20
429b826e-4f2b-4f6b-b911-672d22c53e95,Actuator,Room B,92,140.58.215.198,Active,Model B,Linux,58,9/13/2023 3:10
242f8a3e-864e-4708-964b-a05e3863ef46,Sensor,Room A,14,125.253.31.228,Active,Model C,Windows IoT,85,3/6/2023 1:47
300ce12f-062a-482c-9865-e635707e9506,Gateway,Outdoor,15,194.76.244.171,Inactive,Model C,Linux,37,11/11/2023 7:41
