,duration,src_bytes,dst_bytes,failed_logins,num_file_creations,protocol_type,service,flag,logged_in,is_guest_login,target
0,52,5619,383,1,7,udp,ftp,REJ,0,1,0
1,93,,4113,3,0,udp,http,REJ,0,1,0
2,,6902,7070,2,,icmp,ssh,S0,1,1,0
3,72,1921,3811,2,7,icmp,http,REJ,1,0,0
4,61,4189,1510,2,8,icmp,http,SF,1,0,0
5,21,239,7574,0,3,udp,ftp,REJ,1,0,1
6,83,205,,0,5,tcp,ssh,REJ,0,0,0
7,87,5553,880,4,3,tcp,http,S0,1,1,0
8,75,4928,2163,0,8,,ftp,REJ,0,1,0
9,75,4391,9765,1,1,,ftp,SF,1,0,0
10,88,2688,9841,1,5,tcp,http,SF,0,1,0
11,24,4952,7715,1,,icmp,http,REJ,0,1,0
12,3,6161,1360,1,9,udp,ssh,SF,0,0,0
13,22,5389,4432,4,3,,ssh,SF,0,0,0
14,53,9541,8149,1,1,tcp,http,,1,1,0
15,2,5127,3961,3,7,tcp,http,SF,1,0,0
16,88,817,3812,3,9,icmp,ftp,SF,1,1,0
17,30,9013,4243,3,,,ssh,REJ,1,1,1
18,38,193,4218,0,0,udp,http,S0,0,1,0
19,2,1777,,2,9,icmp,http,S0,,1,0
20,64,,2733,,5,,ssh,REJ,0,1,1
21,60,6315,7834,3,0,icmp,http,S0,,1,0
22,21,8443,2710,3,5,tcp,ftp,S0,0,1,0
23,33,1789,2423,1,6,,ftp,S0,0,0,0
24,76,7375,3642,3,1,tcp,http,S0,0,0,0
25,58,3701,668,,8,tcp,ssh,REJ,0,0,0
26,22,9360,2497,1,7,udp,ftp,S0,0,0,1
27,89,3894,3500,,8,icmp,ssh,S0,,0,
28,49,6812,9637,0,9,,ssh,,0,1,0
29,91,9289,9538,1,3,udp,,REJ,0,1,0
30,59,2680,8081,1,,,ftp,S0,0,0,0
31,42,,6824,,7,icmp,ftp,SF,1,1,0
32,92,7261,1190,1,0,icmp,http,REJ,0,0,0
33,,505,6605,4,7,tcp,ssh,REJ,1,1,0
34,80,9814,8651,0,6,icmp,ftp,S0,0,1,0
35,15,9580,9405,4,6,tcp,,SF,,1,0
36,62,6774,9104,,8,udp,http,REJ,0,0,0
37,62,3817,1026,0,9,icmp,ftp,REJ,0,1,0
38,,718,7786,3,6,,ftp,REJ,0,0,
39,62,4435,72,1,1,tcp,,SF,1,1,
40,51,659,5547,2,0,tcp,http,REJ,1,0,0
41,55,5058,2686,4,0,tcp,http,REJ,0,0,0
42,64,4009,,3,6,icmp,ssh,SF,0,0,0
43,3,4995,7373,1,4,icmp,ftp,REJ,,1,1
44,51,4235,1849,4,3,udp,http,SF,1,1,0
45,7,3765,2023,4,4,tcp,http,SF,1,1,1
46,21,4638,6339,3,9,udp,http,SF,0,1,0
47,73,2105,3742,,9,tcp,ssh,S0,0,0,0
48,39,9448,1299,2,5,tcp,ssh,REJ,0,,0
49,18,,4103,3,9,udp,ssh,REJ,1,0,
50,4,8576,905,4,5,,ssh,REJ,0,0,1
51,89,2608,3027,4,0,udp,ssh,SF,0,1,0
52,60,8386,6710,0,1,icmp,ftp,S0,0,0,0
53,14,3720,4712,1,2,udp,ftp,SF,1,1,0
54,9,2582,8022,0,3,,http,REJ,0,1,0
55,90,2566,5970,2,5,tcp,ssh,SF,0,1,1
56,53,2764,2621,,8,udp,ssh,,0,0,0
57,2,6329,,4,1,icmp,http,REJ,1,1,
58,84,5992,4866,1,7,icmp,ftp,SF,1,0,0
59,92,3407,7346,4,8,,ssh,S0,0,1,0
60,60,,,0,1,icmp,ssh,SF,,1,0
61,71,,7371,0,8,udp,ssh,SF,0,1,0
62,44,4178,3873,3,6,icmp,ftp,REJ,,0,0
63,8,6477,9678,1,8,udp,ftp,S0,0,0,0
64,47,2605,7691,1,5,udp,ssh,SF,0,0,0
65,35,8182,1441,3,1,tcp,ssh,,0,1,0
66,78,2383,766,0,7,udp,http,REJ,1,1,0
67,81,532,4093,0,9,,http,REJ,1,0,0
68,36,6080,9342,0,8,tcp,ftp,REJ,1,1,0
69,50,635,2667,,7,icmp,,S0,0,1,0
70,4,9962,8656,2,1,icmp,ssh,,1,1,1
71,2,3,5969,0,7,udp,ftp,SF,0,1,0
72,6,8398,7642,2,2,tcp,http,S0,1,,1
73,54,5952,2182,2,2,udp,ftp,REJ,0,0,0
74,4,5627,9835,1,,udp,ssh,SF,0,0,0
75,54,7740,3889,3,8,icmp,http,,0,0,0
76,93,6004,841,4,,tcp,,,0,1,0
77,63,2891,5900,2,3,udp,http,REJ,1,0,0
78,18,6240,4119,4,6,icmp,ssh,SF,0,0,0
79,90,8027,566,1,7,udp,ftp,REJ,,1,
80,44,3307,6006,0,,,http,S0,0,0,0
81,34,898,,2,0,,ftp,REJ,0,1,0
82,74,9278,9188,3,8,,ftp,SF,0,1,0
83,62,9472,,1,5,tcp,ftp,REJ,1,0,1
84,,671,9380,4,2,icmp,ssh,REJ,0,0,0
85,95,7292,5891,0,2,tcp,ssh,S0,0,0,0
86,48,1506,4312,,9,tcp,http,S0,,1,0
87,15,6461,7737,3,0,,http,S0,0,1,0
88,72,5168,8849,2,7,udp,ftp,S0,1,0,0
89,78,,2983,3,1,icmp,ftp,REJ,0,1,0
90,87,250,9306,4,0,tcp,ftp,S0,,0,0
91,62,6458,6084,4,6,udp,ssh,REJ,0,1,0
92,40,1893,557,3,8,icmp,ssh,S0,1,0,0
93,85,,3020,3,5,icmp,http,S0,,1,0
94,80,2855,2581,3,7,icmp,ftp,S0,0,1,1
95,82,9696,8147,0,7,tcp,,,1,0,0
96,,3793,8244,4,8,,ssh,,0,1,0
97,24,5331,9554,1,6,tcp,http,REJ,1,,0
98,26,7872,9387,0,8,icmp,ftp,S0,0,1,
99,89,8236,4020,0,,icmp,ftp,S0,0,0,0
100,60,3613,3139,0,0,tcp,http,,1,0,0
101,41,2619,9841,1,5,tcp,ftp,S0,,0,0
102,29,4679,672,3,,,ssh,REJ,0,1,0
103,15,3164,778,4,,icmp,http,SF,1,0,0
104,45,9481,4928,,8,udp,ftp,REJ,0,1,0
105,65,2943,3023,2,3,udp,ftp,REJ,,0,0
106,89,8412,,,1,,ssh,SF,,1,0
107,71,1926,,1,8,icmp,ssh,,1,0,1
108,,2973,1075,2,8,icmp,ssh,SF,1,1,1
109,88,991,9909,0,,udp,ftp,REJ,,1,
110,1,1813,9476,2,2,icmp,ftp,S0,1,1,0
111,8,8996,6764,4,4,tcp,ftp,SF,0,0,
112,88,490,1987,0,1,udp,http,REJ,1,0,0
113,63,5877,9194,2,2,icmp,ssh,S0,1,1,
114,,9686,6328,4,0,icmp,http,REJ,1,1,0
